base_map, altered_map,frechet distance,hausdorff distance,symmetric difference
NUTS_population_by_country_2021_input.geojson,NUTS_population_by_country_2021_9.geojson,1.03478,0.260419,0.742187
NUTS_population_by_region_2020_input.geojson,NUTS_population_by_region_2020_9.geojson,1.09225,0.343246,0.648286
algeria_population_by_wilaya_2022_input.geojson,algeria_population_by_wilaya_2022_5.geojson,0.825094,0.466575,0.922939
australia_population_by_state_and_territory_2021_input.geojson,australia_population_by_state_and_territory_2021_2.geojson,1.10689,0.283751,0.669941
austria_population_by_state_2020_input.geojson,austria_population_by_state_2020_4.geojson,0.450027,0.249849,0.737205
bahamas_population_by_district_2010_input.geojson,bahamas_population_by_district_2010_9.geojson,1.29067,0.517949,0.480585
belgium_population_by_region_2022_input.geojson,belgium_population_by_region_2022_2.geojson,0.324619,0.283501,0.580082
brazil_population_by_state_2021_input.geojson,brazil_population_by_state_2021_4.geojson,1.07699,0.352892,0.655186
china_population_by_province_2020_input.geojson,china_population_by_province_2020_9.geojson,1.15278,0.31073,0.654473
concentric_circles_input.geojson,concentric_circles_3.geojson,0.303058,0.194198,0.478178
conterminous_usa_population_by_state_2020_input.geojson,conterminous_usa_population_by_state_2020_4.geojson,0.530545,0.297222,0.580428
croatia_covid_cases_by_county_2022_input.geojson,croatia_covid_cases_by_county_2022_3.geojson,0.488166,0.28588,0.61982
croatia_population_by_county_2021_input.geojson,croatia_population_by_county_2021_6.geojson,0.390128,0.251521,0.570326
csv_ne50_antimeridian_minus169_brewer_pop_input.geojson,csv_ne50_antimeridian_minus169_brewer_pop_9.geojson,1.25409,0.400311,0.632428
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_input.geojson,csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_9.geojson,1.28686,0.403776,0.623258
egypt_population_by_governate_2017_input.geojson,egypt_population_by_governate_2017_9.geojson,1.24598,0.475372,0.872957
england_population_by_region_2022_input.geojson,england_population_by_region_2022_2.geojson,1.09532,0.319515,0.651709
france_population_by_metropolitan_region_2008_input.geojson,france_population_by_metropolitan_region_2008_2.geojson,0.36902,0.265627,0.488924
germany_population_by_state_2011_input.geojson,germany_population_by_state_2011_6.geojson,0.305769,0.228149,0.504613
indonesia_population_by_province_2024_input.geojson,indonesia_population_by_province_2024_6.geojson,0.676474,0.393259,0.847098
japan_population_by_prefecture_2020_input.geojson,japan_population_by_prefecture_2020_3.geojson,1.105,0.321357,0.634292
malaysia_population_by_state_2020_input.geojson,malaysia_population_by_state_2020_6.geojson,0.497137,0.323411,0.614074
metropolitan_france_population_by_departement_2022_input.geojson,metropolitan_france_population_by_departement_2022_3.geojson,0.467524,0.276904,0.567949
russia_population_by_federal_subject_2010_input.geojson,russia_population_by_federal_subject_2010_9.geojson,1.21976,0.371376,0.60425
simplified_belgium_population_by_region_2022_input.geojson,simplified_belgium_population_by_region_2022_2.geojson,0.572354,0.278643,0.58779
singapore_population_by_planning_area_2015_input.geojson,singapore_population_by_planning_area_2015_9.geojson,1.65616,0.369428,0.893482
switzerland_gdp_in_billion_chf_by_canton_2019_input.geojson,switzerland_gdp_in_billion_chf_by_canton_2019_4.geojson,0.747133,0.381392,0.818128
switzerland_population_by_canton_2016_input.geojson,switzerland_population_by_canton_2016_5.geojson,0.563425,0.342717,0.750791
tunisia_population_by_governate_2014_input.geojson,tunisia_population_by_governate_2014_3.geojson,0.485412,0.314075,0.631226
usa_population_by_county_2021_input.geojson,usa_population_by_county_2021_9.geojson,1.25575,0.385988,0.592976
usa_population_by_state_2020_input.geojson,usa_population_by_state_2020_9.geojson,1.06532,0.309613,0.690867
vietnam_population_by_province_2019_input.geojson,vietnam_population_by_province_2019_2.geojson,1.01929,0.264671,0.710648
world_population_by_country_2010_input.geojson,world_population_by_country_2010_9.geojson,1.20708,0.384596,0.622137
