Map,frechet distance,hausdorff distance,symmetric difference,algorithm
algeria_population_by_wilaya_2022,0.93757,0.501783,0.971125,flow_based
australia_population_by_state_and_territory_2021,0.538337,0.258193,0.569664,flow_based
austria_population_by_state_2020,0.297839,0.219224,0.499246,flow_based
bahamas_population_by_district_2010,1.2294,0.570672,1.13314,flow_based
belgium_population_by_region_2022,0.325126,0.213458,0.351099,flow_based
brazil_population_by_state_2021,0.602363,0.366083,0.706649,flow_based
china_population_by_province_2020,0.55464,0.313415,0.684259,flow_based
conterminous_usa_population_by_state_2020,0.47813,0.302031,0.58082,flow_based
croatia_covid_cases_by_county_2022,0.465043,0.268529,0.591844,flow_based
croatia_population_by_county_2021,0.386014,0.249065,0.525294,flow_based
csv_ne50_antimeridian_minus169_brewer_pop,1.66926,0.492197,0.840501,flow_based
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop,1.0036,0.471492,0.808635,flow_based
egypt_population_by_governate_2017,1.4228,0.590802,0.931312,flow_based
england_population_by_region_2022,0.254383,0.188113,0.362018,flow_based
france_population_by_metropolitan_region_2008,0.312032,0.22173,0.406254,flow_based
germany_population_by_state_2011,0.249708,0.220321,0.46881,flow_based
indonesia_population_by_province_2024,0.694011,0.396898,0.80004,flow_based
japan_population_by_prefecture_2020,0.592795,0.322861,0.732534,flow_based
malaysia_population_by_state_2020,0.547241,0.347163,0.62815,flow_based
metropolitan_france_population_by_departement_2022,0.514011,0.298494,0.598628,flow_based
NUTS_population_by_country_2021,0.328828,0.226661,0.503044,flow_based
NUTS_population_by_region_2020,0.749593,0.394328,0.804959,flow_based
russia_population_by_federal_subject_2010,0.971168,0.431785,0.916238,flow_based
simplified_belgium_population_by_region_2022,0.248317,0.200984,0.301986,flow_based
singapore_population_by_planning_area_2015,9.30907,5.32641,0.864306,flow_based
switzerland_gdp_in_billion_chf_by_canton_2019,0.679468,0.368848,0.783866,flow_based
switzerland_population_by_canton_2016,0.509413,0.330127,0.693127,flow_based
tunisia_population_by_governate_2014,0.577903,0.370496,0.726433,flow_based
usa_population_by_county_2021,1.50479,0.67391,1.0047,flow_based
usa_population_by_state_2020,0.618578,0.328158,0.639882,flow_based
vietnam_population_by_province_2019,0.439674,0.284183,0.609849,flow_based
world_population_by_country_2010,0.929381,0.442409,0.801327,flow_based
