base_map, altered_map,frechet distance,hausdorff distance,symmetric difference
NUTS_population_by_country_2021_input.geojson,NUTS_population_by_country_2021_flow_based.geojson,0.361127,0.230392,0.506132
NUTS_population_by_region_2020_input.geojson,NUTS_population_by_region_2020_flow_based.geojson,0.70091,0.368085,0.763598
algeria_population_by_wilaya_2022_input.geojson,algeria_population_by_wilaya_2022_flow_based.geojson,1.00976,0.514968,1.00737
australia_population_by_state_and_territory_2021_input.geojson,australia_population_by_state_and_territory_2021_flow_based.geojson,0.562359,0.269729,0.574263
austria_population_by_state_2020_input.geojson,austria_population_by_state_2020_flow_based.geojson,0.304932,0.206019,0.491202
bahamas_population_by_district_2010_input.geojson,bahamas_population_by_district_2010_flow_based.geojson,1.28464,0.470384,1.07939
belgium_population_by_region_2022_input.geojson,belgium_population_by_region_2022_flow_based.geojson,0.331658,0.224021,0.361348
brazil_population_by_state_2021_input.geojson,brazil_population_by_state_2021_flow_based.geojson,0.564126,0.359509,0.693806
china_population_by_province_2020_input.geojson,china_population_by_province_2020_flow_based.geojson,0.548194,0.311636,0.686469
concentric_circles_input.geojson,concentric_circles_flow_based.geojson,0.0255586,0.0255586,0.585788
conterminous_usa_population_by_state_2020_input.geojson,conterminous_usa_population_by_state_2020_flow_based.geojson,0.518887,0.307463,0.591227
croatia_covid_cases_by_county_2022_input.geojson,croatia_covid_cases_by_county_2022_flow_based.geojson,0.464203,0.275647,0.576596
croatia_population_by_county_2021_input.geojson,croatia_population_by_county_2021_flow_based.geojson,0.384864,0.264946,0.532367
csv_ne50_antimeridian_minus169_brewer_pop_input.geojson,csv_ne50_antimeridian_minus169_brewer_pop_flow_based.geojson,1.51993,0.451221,0.791385
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_input.geojson,csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_flow_based.geojson,0.96294,0.45123,0.778517
egypt_population_by_governate_2017_input.geojson,egypt_population_by_governate_2017_flow_based.geojson,1.41142,0.599734,0.936625
england_population_by_region_2022_input.geojson,england_population_by_region_2022_flow_based.geojson,0.25344,0.196117,0.371145
france_population_by_metropolitan_region_2008_input.geojson,france_population_by_metropolitan_region_2008_flow_based.geojson,0.334782,0.225576,0.430388
germany_population_by_state_2011_input.geojson,germany_population_by_state_2011_flow_based.geojson,0.253879,0.218682,0.467142
indonesia_population_by_province_2024_input.geojson,indonesia_population_by_province_2024_flow_based.geojson,0.650012,0.372615,0.7545
japan_population_by_prefecture_2020_input.geojson,japan_population_by_prefecture_2020_flow_based.geojson,0.581742,0.328164,0.718477
malaysia_population_by_state_2020_input.geojson,malaysia_population_by_state_2020_flow_based.geojson,0.534753,0.335314,0.594418
metropolitan_france_population_by_departement_2022_input.geojson,metropolitan_france_population_by_departement_2022_flow_based.geojson,0.509564,0.289969,0.591465
russia_population_by_federal_subject_2010_input.geojson,russia_population_by_federal_subject_2010_flow_based.geojson,0.943478,0.422605,0.924643
simplified_belgium_population_by_region_2022_input.geojson,simplified_belgium_population_by_region_2022_flow_based.geojson,0.254153,0.19313,0.30822
singapore_population_by_planning_area_2015_input.geojson,singapore_population_by_planning_area_2015_flow_based.geojson,3.47992,0.766799,0.837892
switzerland_gdp_in_billion_chf_by_canton_2019_input.geojson,switzerland_gdp_in_billion_chf_by_canton_2019_flow_based.geojson,0.697191,0.382009,0.822125
switzerland_population_by_canton_2016_input.geojson,switzerland_population_by_canton_2016_flow_based.geojson,0.530236,0.340787,0.715736
tunisia_population_by_governate_2014_input.geojson,tunisia_population_by_governate_2014_flow_based.geojson,0.595756,0.35928,0.705436
usa_population_by_county_2021_input.geojson,usa_population_by_county_2021_flow_based.geojson,0.964372,0.525045,0.796493
usa_population_by_state_2020_input.geojson,usa_population_by_state_2020_flow_based.geojson,0.630051,0.313433,0.6279
vietnam_population_by_province_2019_input.geojson,vietnam_population_by_province_2019_flow_based.geojson,0.42723,0.27124,0.594705
world_population_by_country_2010_input.geojson,world_population_by_country_2010_flow_based.geojson,0.947054,0.448053,0.79181
