base_map, altered_map,frechet distance,hausdorff distance,symmetric difference
algeria_population_by_wilaya_2022_input.geojson,algeria_population_by_wilaya_2022_5.geojson,0.825094,0.466575,0.922939
algeria_population_by_wilaya_2022_input.geojson,algeria_population_by_wilaya_2022_5Fcarto.geojson,0.934792,0.501379,0.97066
algeria_population_by_wilaya_2022_input.geojson,algeria_population_by_wilaya_2022_flow_based.geojson,0.93757,0.501783,0.971125
australia_population_by_state_and_territory_2021_input.geojson,australia_population_by_state_and_territory_2021_2.geojson,1.10689,0.283751,0.669941
australia_population_by_state_and_territory_2021_input.geojson,australia_population_by_state_and_territory_2021_5Fcarto.geojson,0.524192,0.259133,0.563542
australia_population_by_state_and_territory_2021_input.geojson,australia_population_by_state_and_territory_2021_flow_based.geojson,0.538337,0.258193,0.569664
austria_population_by_state_2020_input.geojson,austria_population_by_state_2020_4.geojson,0.450027,0.249849,0.737205
austria_population_by_state_2020_input.geojson,austria_population_by_state_2020_5Fcarto.geojson,0.296781,0.22003,0.501715
austria_population_by_state_2020_input.geojson,austria_population_by_state_2020_flow_based.geojson,0.297839,0.219224,0.499246
bahamas_population_by_district_2010_input.geojson,bahamas_population_by_district_2010_9.geojson,1.29067,0.517949,0.480585
bahamas_population_by_district_2010_input.geojson,bahamas_population_by_district_2010_5Fcarto.geojson,1.23045,0.57739,1.1212
bahamas_population_by_district_2010_input.geojson,bahamas_population_by_district_2010_flow_based.geojson,1.2294,0.570672,1.13314
belgium_population_by_region_2022_input.geojson,belgium_population_by_region_2022_2.geojson,0.324619,0.283501,0.580082
belgium_population_by_region_2022_input.geojson,belgium_population_by_region_2022_5Fcarto.geojson,0.325184,0.213421,0.350928
belgium_population_by_region_2022_input.geojson,belgium_population_by_region_2022_flow_based.geojson,0.325126,0.213458,0.351099
brazil_population_by_state_2021_input.geojson,brazil_population_by_state_2021_4.geojson,1.07699,0.352892,0.655186
brazil_population_by_state_2021_input.geojson,brazil_population_by_state_2021_5Fcarto.geojson,0.599914,0.368603,0.707555
brazil_population_by_state_2021_input.geojson,brazil_population_by_state_2021_flow_based.geojson,0.602363,0.366083,0.706649
china_population_by_province_2020_input.geojson,china_population_by_province_2020_9.geojson,1.15278,0.31073,0.654473
china_population_by_province_2020_input.geojson,china_population_by_province_2020_5Fcarto.geojson,0.549129,0.314369,0.67897
china_population_by_province_2020_input.geojson,china_population_by_province_2020_flow_based.geojson,0.55464,0.313415,0.684259
conterminous_usa_population_by_state_2020_input.geojson,conterminous_usa_population_by_state_2020_4.geojson,0.530545,0.297222,0.580428
conterminous_usa_population_by_state_2020_input.geojson,conterminous_usa_population_by_state_2020_5Fcarto.geojson,0.479651,0.307485,0.580305
conterminous_usa_population_by_state_2020_input.geojson,conterminous_usa_population_by_state_2020_flow_based.geojson,0.47813,0.302031,0.58082
croatia_covid_cases_by_county_2022_input.geojson,croatia_covid_cases_by_county_2022_3.geojson,0.488166,0.28588,0.61982
croatia_covid_cases_by_county_2022_input.geojson,croatia_covid_cases_by_county_2022_5Fcarto.geojson,0.464086,0.267717,0.592601
croatia_covid_cases_by_county_2022_input.geojson,croatia_covid_cases_by_county_2022_flow_based.geojson,0.465043,0.268529,0.591844
croatia_population_by_county_2021_input.geojson,croatia_population_by_county_2021_6.geojson,0.390128,0.251521,0.570326
croatia_population_by_county_2021_input.geojson,croatia_population_by_county_2021_5Fcarto.geojson,0.385966,0.247292,0.524738
croatia_population_by_county_2021_input.geojson,croatia_population_by_county_2021_flow_based.geojson,0.386014,0.249065,0.525294
csv_ne50_antimeridian_minus169_brewer_pop_input.geojson,csv_ne50_antimeridian_minus169_brewer_pop_9.geojson,1.25409,0.400311,0.632428
csv_ne50_antimeridian_minus169_brewer_pop_input.geojson,csv_ne50_antimeridian_minus169_brewer_pop_5Fcarto.geojson,1.62302,0.521711,0.837738
csv_ne50_antimeridian_minus169_brewer_pop_input.geojson,csv_ne50_antimeridian_minus169_brewer_pop_flow_based.geojson,1.66926,0.492197,0.840501
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_input.geojson,csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_9.geojson,1.28686,0.403776,0.623258
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_input.geojson,csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_5Fcarto.geojson,0.886076,0.461833,0.782781
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_input.geojson,csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_flow_based.geojson,1.0036,0.471492,0.808635
egypt_population_by_governate_2017_input.geojson,egypt_population_by_governate_2017_9.geojson,1.24598,0.475372,0.872957
egypt_population_by_governate_2017_input.geojson,egypt_population_by_governate_2017_5Fcarto.geojson,1.47662,0.491421,0.904518
egypt_population_by_governate_2017_input.geojson,egypt_population_by_governate_2017_flow_based.geojson,1.4228,0.590802,0.931312
england_population_by_region_2022_input.geojson,england_population_by_region_2022_2.geojson,1.09532,0.319515,0.651709
england_population_by_region_2022_input.geojson,england_population_by_region_2022_5Fcarto.geojson,0.254712,0.188557,0.364474
england_population_by_region_2022_input.geojson,england_population_by_region_2022_flow_based.geojson,0.254383,0.188113,0.362018
france_population_by_metropolitan_region_2008_input.geojson,france_population_by_metropolitan_region_2008_2.geojson,0.36902,0.265627,0.488924
