mapname,F4Carto_n_iter,5FCarto_n_defeated,flow_based_n_defeated,F4Carto_min_relative_area_error_reached,5FCarto_max_relative_area_error_at_n,flow_based_max_relative_area_error_at_n,F4Carto_time,5FCarto_time_at_n,flow_based_time_at_n,5FCarto_final_error,flow_based_final_error,5FCarto_total_time,flow_based_total_time
algeria_population_by_wilaya_2022,6,7,7,0.302338,0.1071906310711910,0.1210863469935320,1.6304,0.499,0.3810000000000000,0.00931429393904359,0.00632805143680492,0.6280000000000000,0.4560000000000000
australia_population_by_state_and_territory_2021,3,1,1,0.845114,0.7175302759654760,0.7218215104175350,0.2021,0.117,0.075,0.00205147029479424,0.00905416710686646,0.376,0.174
austria_population_by_state_2020,5,1,1,0.438313,0.1995718500172280,0.1986784221690660,0.2493,0.08400000000000000,0.064,0.0021587116232542,0.00284952814480798,0.16900000000000000,0.09800000000000000
bahamas_population_by_district_2010,10,5,5,6.27002,4.739735701781250,5.329862944580020,1.7667,0.367,0.42200000000000000,0.00711895165300724,0.00761117906919728,0.9670000000000000,1.15
belgium_population_by_region_2022,3,0,0,0.378991,0.3572928443739300,0.3569801629130440,0.1174,0.043,0.037,0.00550040127089856,0.00597726919502572,0.072,0.059
brazil_population_by_state_2021,5,3,3,0.313994,0.1862312009856040,0.1478111053293180,0.6868,0.20400000000000000,0.16400000000000000,0.00953476359613869,0.00763670723872222,0.29500000000000000,0.22100000000000000
china_population_by_province_2020,10,3,3,0.975881,0.7427869467692630,0.6669864002361850,1.5860000000000000,0.26,0.20300000000000000,0.00431979876353916,0.00713047079222217,0.3920000000000000,0.316
conterminous_usa_population_by_state_2020,5,2,2,0.437851,0.3731856559679180,0.4307945368036930,0.5644,0.126,0.08900000000000000,0.0058873476134722,0.00725267521798111,0.255,0.16100000000000000
croatia_covid_cases_by_county_2022,4,2,2,0.261069,0.1274887323338490,0.1298817945252280,0.44510000000000000,0.077,0.065,0.00464032347190357,0.00808750979818762,0.181,0.09700000000000000
croatia_population_by_county_2021,7,2,2,0.293127,0.08954370935119240,0.0895257754515304,0.7443,0.071,0.064,0.00886674520066166,0.00976605233026939,0.11600000000000000,0.087
csv_ne50_antimeridian_minus169_brewer_pop,10,3,3,229.92,221.6578082325010,219.9453604625000,4.5073,0.5520000000000000,0.403,0.00639559862955785,0.00826919683036175,5.234000000000000,2.903
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop,10,1,1,27.2867,21.30162528225320,22.31981289925940,3.7027,0.317,0.249,0.00560340036920181,0.00658988981004471,3.8160000000000000,2.327
egypt_population_by_governate_2017,10,8,9,0.697803,0.5185786020692060,0.3870426297398720,2.1415000000000000,0.34900000000000000,0.21900000000000000,0.00691791948213293,0.00523387884600246,0.6110000000000000,0.3420000000000000
england_population_by_region_2022,3,0,0,0.547634,0.3221815855668740,0.3219697979326480,0.3812,0.067,0.059,0.00884841871989428,0.00881694692192591,0.154,0.143
france_population_by_metropolitan_region_2008,3,0,0,0.478437,0.2783326088312350,0.2780384928759160,0.30410000000000000,0.07,0.057,0.00904426957277393,0.00920793111361839,0.133,0.089
germany_population_by_state_2011,7,2,2,0.431163,0.3192199167580470,0.3292851585242050,0.5748,0.082,0.073,0.00719818548609674,0.00791005142661793,0.116,0.09600000000000000
indonesia_population_by_province_2024,7,5,5,0.97834,0.6379781548556900,0.6181396012266900,0.5109,0.08200000000000000,0.065,0.00539708078038736,0.00910225067457881,0.27400000000000000,0.11500000000000000
japan_population_by_prefecture_2020,4,4,4,0.305837,0.1865870274026560,0.1425991802489440,0.34730000000000000,0.17300000000000000,0.107,0.0089974852191077,0.00702405022309415,0.33000000000000000,0.21400000000000000
malaysia_population_by_state_2020,7,2,2,0.543689,0.4998091700642020,0.4826304030843930,0.1942,0.08500000000000000,0.045000000000000000,0.00875582536734098,0.00460873778264991,0.17600000000000000,0.08
metropolitan_france_population_by_departement_2022,4,5,5,0.26005,0.1630460776460970,0.1755518826834200,1.1002,0.28200000000000000,0.266,0.00890430769121453,0.00823542961863954,0.46100000000000000,0.42900000000000000
NUTS_population_by_country_2021,10,4,4,0.417461,0.2920109565951280,0.2915146810696370,1.1555000000000000,0.41600000000000000,0.10500000000000000,0.00970545888501694,0.00716767227264647,1.1,0.292
NUTS_population_by_region_2020,10,6,5,16.5015,10.37525501178620,15.52909669548310,2.0586,0.349,0.155,0.00409323699113073,0.00682154490704123,6.317000000000000,2.520000000000000
russia_population_by_federal_subject_2010,10,7,7,3.30001,2.244580250148590,2.203953420295370,2.5435,0.38500000000000000,0.29800000000000000,0.0059038349747218,0.0087510394798187,0.8630000000000000,0.5790000000000000
simplified_belgium_population_by_region_2022,3,1,2,0.222895,0.02946020155686190,0.09054113542675210,0.0588,0.050000000000000000,0.062,0.00711350147515621,0.00601617252002062,0.06,0.08000000000000000
singapore_population_by_planning_area_2015,10,5,6,29.7191,18.83849054609050,21.45715838441340,2.1097000000000000,0.185,0.175,0.00727421890367496,2.387552582354590,1.6400000000000000,151.01600000000000
switzerland_gdp_in_billion_chf_by_canton_2019,5,2,2,0.339314,0.3240424318189060,0.3269089888618740,0.6243,0.145,0.084,0.00761206127526914,0.00764951297651506,0.269,0.136
switzerland_population_by_canton_2016,6,2,2,0.403295,0.2682152853643500,0.2712772376249410,0.7555,0.122,0.073,0.00915850203932588,0.00945427632159789,0.215,0.11000000000000000
tunisia_population_by_governate_2014,4,2,2,0.383624,0.3424251675466620,0.3413195464122150,0.3274,0.097,0.052000000000000000,0.00586361953510894,0.00628806223447453,0.21200000000000000,0.09000000000000000
usa_population_by_state_2020,10,3,3,1.37119,0.7780273989108320,0.8006166130996410,1.3568,0.17300000000000000,0.11900000000000000,0.00874268425780699,0.00623138663477873,0.3660000000000000,0.23000000000000000
usa_population_by_county_2021,10,9,99,6.91642,6.645740751281040,12.65014054890920,10.8397,2.161,239.969,0.00672290833244715,12.65014054890920,29.340000000000000,239.96900000000000
vietnam_population_by_province_2019,3,4,4,0.279383,0.2441784371158530,0.2368599225522790,0.3382,0.13100000000000000,0.082,0.00933166751021308,0.00897563344285501,0.304,0.19700000000000000
