Integration Number,Time (s),Max Area Error
0,0.040000,17.142908
1,0.097000,7.009571
2,0.100000,0.707407
3,0.072000,0.520545
4,0.063000,0.321515
5,0.063000,0.129822
6,0.065000,0.050204
7,0.064000,0.017632
8,0.064000,0.007828
9,0.062000,0.007808
10,0.064000,0.007905
11,0.189000,0.007953
12,0.656000,0.005185
13,0.651000,0.004667
14,0.630000,0.004316
15,0.644000,0.003975
16,0.645000,0.003663
17,0.647000,0.003327
18,0.650000,0.003026
19,0.645000,0.002753
20,0.645000,0.002507
21,0.645000,0.002285
22,0.650000,0.002085
23,0.644000,0.002041
24,0.646000,0.002046
25,0.669000,0.002052
26,2.673000,0.002062
27,2.560000,0.004853
28,2.484000,0.001571
29,2.616000,0.001571
30,2.568000,0.001571
31,2.662000,0.001548
32,2.626000,0.001535
33,2.581000,0.001520
34,2.575000,0.001506
35,2.652000,0.001491
36,2.589000,0.001476
37,2.579000,0.001462
38,2.625000,0.001448
39,2.585000,0.001436
40,2.584000,0.001424
41,2.585000,0.001413
42,2.638000,0.001402
43,2.613000,0.001393
44,2.626000,0.001383
45,2.578000,0.001375
46,2.581000,0.001367
47,2.589000,0.001359
48,2.582000,0.001352
49,2.590000,0.001310
50,2.649000,0.001309
51,2.557000,0.001304
52,2.561000,0.001299
53,2.568000,0.001299
54,2.665000,0.001295
55,2.601000,0.001292
56,2.606000,0.001291
57,2.672000,0.001286
58,2.703000,0.001282
59,2.670000,0.001277
60,2.608000,0.000335
61,2.581000,0.000335
62,2.543000,0.000335
63,2.526000,0.000335
64,2.524000,0.000335
65,2.642000,0.000335
66,2.600000,0.000335
67,2.588000,0.000335
68,2.536000,0.000335
69,2.537000,0.000335
70,2.544000,0.000335
71,2.540000,0.000335
72,2.543000,0.000335
73,2.574000,0.000335
74,2.539000,0.000335
75,2.540000,0.000335
76,2.532000,0.000335
77,2.631000,0.000335
78,2.540000,0.000335
79,2.584000,0.000335
80,2.613000,0.000335
81,2.534000,0.000335
82,2.548000,0.000335
83,2.539000,0.000335
84,2.534000,0.000335
85,2.578000,0.000335
86,2.534000,0.000335
87,2.532000,0.000335
88,2.532000,0.000335
89,2.620000,0.000335
90,2.540000,0.000335
91,2.582000,0.000335
92,2.537000,0.000335
93,2.536000,0.000335
94,2.543000,0.000335
95,2.535000,0.000335
96,2.616000,0.000335
97,2.575000,0.000335
98,2.541000,0.000335
99,2.535000,0.000335
