Integration Number,Time (s),Max Area Error
0,0.076000,0.977033
1,0.188000,0.617798
2,0.147000,0.155995
3,0.111000,0.040325
4,0.098000,0.031081
5,0.102000,0.021510
6,0.100000,0.008785
7,0.089000,0.008785
8,0.091000,0.008785
9,0.326000,0.008785
10,1.342000,0.005189
11,1.154000,0.005189
12,1.169000,0.005189
13,4.658000,0.003774
14,4.626000,0.003774
15,4.697000,0.003774
16,4.832000,0.001291
17,4.765000,0.001291
18,4.762000,0.001291
19,4.710000,0.001291
20,4.656000,0.001291
21,4.656000,0.001291
22,4.703000,0.001291
23,4.671000,0.001291
24,4.660000,0.001291
25,4.746000,0.001291
26,4.813000,0.001159
27,4.712000,0.001159
28,4.747000,0.000951
29,4.468000,0.000951
30,4.438000,0.000951
31,4.528000,0.000951
32,4.483000,0.000951
33,4.439000,0.000951
34,4.516000,0.000951
35,4.500000,0.000951
36,4.486000,0.000770
37,4.521000,0.000770
38,4.549000,0.000770
39,4.524000,0.000770
40,4.481000,0.000770
41,4.474000,0.000770
42,4.511000,0.000770
43,4.553000,0.000770
44,4.571000,0.000770
45,4.584000,0.000637
46,4.647000,0.000637
47,4.549000,0.000637
48,4.564000,0.000637
49,4.616000,0.000637
50,4.518000,0.000637
51,4.581000,0.000637
52,4.618000,0.000637
53,4.513000,0.000637
54,4.522000,0.000637
55,4.576000,0.000637
56,4.513000,0.000637
57,4.526000,0.000637
58,4.605000,0.000637
59,4.550000,0.000637
60,4.589000,0.000637
61,4.502000,0.000637
62,4.565000,0.000561
63,4.550000,0.000561
64,4.634000,0.000561
65,4.605000,0.000561
66,4.546000,0.000561
67,4.561000,0.000561
68,4.544000,0.000561
69,4.674000,0.000561
70,4.558000,0.000561
71,4.653000,0.000561
72,4.600000,0.000561
73,4.548000,0.000561
74,4.588000,0.000561
75,4.588000,0.000561
76,4.548000,0.000561
77,4.721000,0.000561
78,4.603000,0.000561
79,4.557000,0.000561
80,4.609000,0.000561
81,4.620000,0.000561
82,4.758000,0.000561
83,4.558000,0.000561
84,4.693000,0.000561
85,4.611000,0.000561
86,4.629000,0.000561
87,4.560000,0.000561
88,4.599000,0.000561
89,4.556000,0.000561
90,4.596000,0.000561
91,4.590000,0.000561
92,4.633000,0.000561
93,4.587000,0.000561
94,4.601000,0.000561
95,4.667000,0.000561
96,4.545000,0.000561
97,4.660000,0.000561
98,4.583000,0.000561
99,4.551000,0.000561
