Integration Number,Time (s),Max Area Error
0,0.147000,0.949769
1,0.171000,0.288955
2,0.193000,0.034426
3,0.210000,0.034426
4,0.212000,0.034426
5,0.211000,0.001479
6,0.218000,0.001479
7,0.218000,0.001479
8,0.869000,0.001479
9,3.411000,0.001479
10,15.062000,0.001479
11,14.542000,0.001479
12,14.586000,0.001479
13,14.583000,0.001479
14,14.536000,0.001479
15,14.726000,0.001479
16,14.707000,0.001479
17,14.670000,0.001479
18,15.010000,0.001479
19,14.825000,0.001479
20,14.671000,0.001479
21,14.289000,0.001479
22,14.508000,0.001479
23,14.560000,0.001479
24,15.199000,0.001479
25,14.424000,0.001479
26,15.087000,0.000505
27,26.759000,0.000505
28,24.973000,0.000505
29,24.052000,0.000505
30,23.508000,0.000505
31,24.783000,0.000505
32,23.057000,0.000505
33,24.309000,0.000505
34,23.463000,0.000505
35,23.803000,0.000505
36,24.534000,0.000505
37,23.900000,0.000505
38,24.387000,0.000505
39,25.031000,0.000505
40,24.064000,0.000505
41,24.532000,0.000505
42,24.250000,0.000505
43,26.817000,0.000505
44,23.881000,0.000505
45,23.956000,0.000505
46,23.623000,0.000505
47,23.666000,0.000505
48,24.409000,0.000505
49,23.160000,0.000505
50,28.908000,0.000505
51,24.597000,0.000505
52,25.535000,0.000505
53,23.266000,0.000505
54,25.878000,0.000505
55,23.302000,0.000505
56,23.595000,0.000505
57,24.072000,0.000505
58,23.218000,0.000505
59,26.472000,0.000505
60,23.818000,0.000505
61,23.279000,0.000505
62,23.217000,0.000505
63,24.700000,0.000505
64,24.836000,0.000505
65,24.307000,0.000505
66,24.649000,0.000505
67,24.195000,0.000505
68,24.313000,0.000505
69,26.809000,0.000505
70,23.592000,0.000505
71,24.019000,0.000505
72,23.412000,0.000505
73,24.551000,0.000505
74,23.547000,0.000505
75,24.856000,0.000505
76,25.026000,0.000505
77,23.581000,0.000505
78,23.275000,0.000505
79,23.942000,0.000505
80,24.772000,0.000505
81,23.822000,0.000505
82,24.326000,0.000505
83,24.297000,0.000505
84,24.741000,0.000505
85,23.832000,0.000505
86,24.584000,0.000505
87,24.306000,0.000505
88,23.394000,0.000505
89,25.484000,0.000505
90,23.786000,0.000197
91,25.064000,0.000197
92,25.555000,0.000197
93,25.052000,0.000197
94,24.001000,0.000197
95,25.370000,0.000197
96,25.074000,0.000197
97,23.353000,0.000197
98,24.498000,0.000197
99,24.295000,0.000197
