Integration Number,Time (s),Max Area Error
0,0.090000,46.592909
1,0.348000,13.015130
2,0.184000,2.759873
3,0.178000,0.944092
4,0.148000,0.817151
5,0.115000,0.672799
6,0.126000,0.404379
7,0.095000,0.175422
8,0.084000,0.017193
9,0.084000,0.007535
10,0.081000,0.007433
11,0.081000,0.006515
12,0.085000,0.005171
13,0.081000,0.004352
14,0.082000,0.004190
15,0.082000,0.003823
16,0.082000,0.003643
17,0.080000,0.003331
18,0.083000,0.002990
19,0.080000,0.002690
20,0.084000,0.002638
21,0.080000,0.002644
22,0.082000,0.002303
23,0.080000,0.002483
24,0.081000,0.001594
25,0.080000,0.001575
26,0.080000,0.001556
27,0.080000,0.001542
28,0.079000,0.001531
29,0.079000,0.001523
30,0.082000,0.001572
31,0.260000,0.001637
32,0.949000,0.001696
33,3.632000,0.001230
34,3.668000,0.000940
35,3.620000,0.000925
36,3.615000,0.000891
37,3.621000,0.000883
38,3.664000,0.000875
39,3.716000,0.000864
40,3.667000,0.000864
41,3.619000,0.000855
42,3.620000,0.000855
43,3.663000,0.000849
44,3.635000,0.000848
45,3.634000,0.000841
46,3.601000,0.000841
47,3.746000,0.000838
48,3.604000,0.000838
49,3.611000,0.000836
50,3.630000,0.000842
51,3.740000,0.000838
52,3.617000,0.000834
53,3.639000,0.000846
54,3.616000,0.000841
55,3.686000,0.000838
56,3.685000,0.000834
57,3.630000,0.000848
58,3.611000,0.000844
59,3.676000,0.000840
60,3.638000,0.000837
61,3.615000,0.000852
62,3.693000,0.000848
63,3.659000,0.000844
64,3.709000,0.000842
65,3.626000,0.000839
66,3.629000,0.000846
67,3.656000,0.000874
68,3.635000,0.000910
69,3.629000,0.000944
70,3.626000,0.000977
71,3.709000,0.001008
72,3.745000,0.001043
73,3.634000,0.001068
74,3.719000,0.000702
75,3.650000,0.000711
76,3.647000,0.000717
77,3.643000,0.000721
78,3.633000,0.000724
79,3.619000,0.000726
80,3.757000,0.000727
81,3.624000,0.000728
82,3.628000,0.000729
83,3.651000,0.000729
84,3.806000,0.000730
85,3.696000,0.000730
86,3.637000,0.000730
87,3.624000,0.000693
88,3.696000,0.000695
89,3.648000,0.000697
90,3.607000,0.000698
91,3.625000,0.000699
92,3.662000,0.000700
93,3.640000,0.000700
94,3.649000,0.000701
95,3.630000,0.000701
96,3.742000,0.000701
97,3.705000,0.000701
98,3.686000,0.000701
99,3.611000,0.000701
