Integration Number,Time (s),Max Area Error
0,0.071000,0.750200
1,0.072000,0.750200
2,0.093000,0.045932
3,0.105000,0.045932
4,0.113000,0.008216
5,0.153000,0.008216
6,0.157000,0.008216
7,0.610000,0.008216
8,2.449000,0.008216
9,9.432000,0.008216
10,9.560000,0.001564
11,9.720000,0.001564
12,9.588000,0.001564
13,9.740000,0.001564
14,9.584000,0.001564
15,9.677000,0.001564
16,9.684000,0.001564
17,9.574000,0.001564
18,9.644000,0.001564
19,9.713000,0.001564
20,9.636000,0.001564
21,9.651000,0.001564
22,9.647000,0.001564
23,9.669000,0.001564
24,9.740000,0.001564
25,9.628000,0.001564
26,9.662000,0.001564
27,9.652000,0.001564
28,9.640000,0.001564
29,9.777000,0.001564
30,9.623000,0.000123
31,9.839000,0.000123
32,10.114000,0.000123
33,10.079000,0.000123
34,9.854000,0.000123
35,9.978000,0.000123
36,9.987000,0.000123
37,9.877000,0.000123
38,10.087000,0.000123
39,9.953000,0.000123
40,9.871000,0.000123
41,10.162000,0.000123
42,10.028000,0.000123
43,9.883000,0.000123
44,10.032000,0.000123
45,10.003000,0.000123
46,9.883000,0.000123
47,10.013000,0.000123
48,9.898000,0.000123
49,9.956000,0.000123
50,9.955000,0.000123
51,9.948000,0.000123
52,9.866000,0.000123
53,10.054000,0.000123
54,9.920000,0.000123
55,9.887000,0.000123
56,10.027000,0.000123
57,10.012000,0.000123
58,9.887000,0.000123
59,10.054000,0.000123
60,9.953000,0.000123
61,10.060000,0.000123
62,10.056000,0.000123
63,9.975000,0.000123
64,10.141000,0.000123
65,10.124000,0.000123
66,9.969000,0.000123
67,9.899000,0.000123
68,10.111000,0.000123
69,10.060000,0.000123
70,9.880000,0.000123
71,10.064000,0.000123
72,9.981000,0.000123
73,9.922000,0.000123
74,10.104000,0.000123
75,9.944000,0.000123
76,9.916000,0.000123
77,10.012000,0.000123
78,10.048000,0.000123
79,9.884000,0.000123
80,10.027000,0.000123
81,10.255000,0.000123
82,10.014000,0.000123
83,9.991000,0.000123
84,9.918000,0.000123
85,9.869000,0.000123
86,10.084000,0.000123
87,9.905000,0.000123
88,9.894000,0.000123
89,9.983000,0.000123
90,9.971000,0.000123
91,9.874000,0.000123
92,9.991000,0.000123
93,9.902000,0.000123
94,10.093000,0.000123
95,9.976000,0.000123
96,9.899000,0.000123
97,9.874000,0.000123
98,10.061000,0.000123
99,10.003000,0.000123
