Integration Number,Time (s),Max Area Error
0,0.037000,17.497852
1,0.127000,4.782301
2,0.124000,0.588977
3,0.075000,0.184967
4,0.065000,0.034969
5,0.063000,0.026398
6,0.059000,0.017755
7,0.061000,0.012473
8,0.059000,0.008969
9,0.057000,0.009052
10,0.061000,0.006924
11,0.060000,0.006321
12,0.059000,0.006124
13,0.063000,0.004618
14,0.059000,0.004079
15,0.061000,0.002983
16,0.046000,0.003038
17,0.059000,0.003055
18,0.169000,0.002676
19,0.169000,0.002697
20,0.172000,0.001972
21,0.154000,0.001947
22,0.158000,0.001927
23,0.166000,0.001715
24,0.164000,0.001720
25,0.171000,0.001723
26,0.610000,0.001725
27,2.311000,0.001727
28,2.308000,0.001110
29,2.247000,0.001110
30,2.268000,0.001110
31,2.376000,0.001110
32,2.262000,0.001110
33,2.253000,0.001110
34,2.278000,0.001088
35,2.295000,0.001077
36,2.296000,0.001070
37,2.411000,0.000739
38,2.271000,0.000739
39,2.259000,0.000739
40,2.258000,0.000739
41,2.265000,0.000739
42,2.263000,0.000739
43,2.269000,0.000739
44,2.387000,0.000739
45,2.254000,0.000739
46,2.262000,0.000739
47,2.263000,0.000739
48,2.251000,0.000739
49,2.260000,0.000739
50,2.263000,0.000739
51,2.302000,0.000739
52,2.273000,0.000739
53,2.260000,0.000739
54,2.275000,0.000738
55,2.357000,0.000738
56,2.320000,0.000738
57,2.419000,0.000731
58,2.292000,0.000730
59,2.287000,0.000730
60,2.301000,0.000743
61,2.299000,0.000749
62,2.300000,0.000753
63,2.298000,0.000754
64,2.365000,0.000755
65,2.311000,0.000754
66,2.304000,0.000754
67,2.294000,0.000753
68,2.309000,0.000752
69,2.297000,0.000752
70,2.417000,0.000767
71,2.298000,0.000768
72,2.300000,0.000768
73,2.382000,0.000769
74,2.305000,0.000770
75,2.304000,0.000780
76,2.277000,0.000781
77,2.320000,0.000782
78,2.287000,0.000783
79,2.299000,0.000784
80,2.293000,0.000785
81,2.300000,0.000786
82,2.291000,0.000786
83,2.413000,0.000639
84,2.279000,0.000639
85,2.285000,0.000639
86,2.288000,0.000639
87,2.297000,0.000639
88,2.288000,0.000639
89,2.293000,0.000639
90,2.335000,0.000639
91,2.372000,0.000639
92,2.296000,0.000639
93,2.292000,0.000639
94,2.289000,0.000639
95,2.303000,0.000639
96,2.387000,0.000639
97,2.295000,0.000639
98,2.290000,0.000639
99,2.292000,0.000639
