Integration Number,Time (s),Max Area Error
0,0.028000,9.108930
1,0.074000,1.480419
2,0.077000,0.203469
3,0.069000,0.054468
4,0.069000,0.038255
5,0.080000,0.017309
6,0.057000,0.017076
7,0.068000,0.016865
8,0.079000,0.006035
9,0.069000,0.006035
10,0.070000,0.006035
11,0.216000,0.005202
12,0.209000,0.005037
13,0.211000,0.004791
14,0.208000,0.003544
15,0.210000,0.002959
16,0.206000,0.002959
17,0.207000,0.002550
18,0.204000,0.002550
19,0.207000,0.002533
20,0.206000,0.002512
21,0.205000,0.002494
22,0.207000,0.002489
23,0.208000,0.002374
24,0.207000,0.002382
25,0.206000,0.002273
26,0.207000,0.002179
27,0.208000,0.002133
28,0.208000,0.002003
29,0.206000,0.001919
30,0.205000,0.001846
31,0.208000,0.001780
32,0.207000,0.001719
33,0.206000,0.001662
34,0.206000,0.001658
35,0.208000,0.001587
36,0.207000,0.001520
37,0.211000,0.001502
38,0.193000,0.001447
39,0.205000,0.001397
40,0.204000,0.001381
41,0.207000,0.001369
42,0.206000,0.001328
43,0.207000,0.001316
44,0.205000,0.001285
45,0.206000,0.001271
46,0.206000,0.001260
47,0.207000,0.001230
48,0.208000,0.001217
49,0.207000,0.001207
50,0.208000,0.001196
51,0.207000,0.001165
52,0.208000,0.001147
53,0.208000,0.001134
54,0.207000,0.001123
55,0.206000,0.001115
56,0.206000,0.001108
57,0.206000,0.001103
58,0.207000,0.001098
59,0.207000,0.001094
60,0.207000,0.001091
61,0.212000,0.001065
62,0.212000,0.001059
63,0.263000,0.001053
64,0.237000,0.001049
65,0.210000,0.001045
66,0.206000,0.001042
67,0.207000,0.001039
68,0.207000,0.001036
69,0.206000,0.001034
70,0.208000,0.001013
71,0.206000,0.001007
72,0.206000,0.001002
73,0.207000,0.000998
74,0.209000,0.000994
75,0.207000,0.000991
76,0.207000,0.000988
77,0.206000,0.000985
78,0.207000,0.000983
79,0.206000,0.000980
80,0.206000,0.000978
81,0.207000,0.000976
82,0.207000,0.000974
83,0.207000,0.000972
84,0.220000,0.000562
85,0.208000,0.000562
86,0.211000,0.000562
87,0.770000,0.000562
88,2.937000,0.000562
89,2.916000,0.000562
90,2.997000,0.000562
91,2.964000,0.000562
92,2.918000,0.000562
93,2.916000,0.000562
94,2.924000,0.000562
95,2.926000,0.000562
96,3.039000,0.000562
97,2.927000,0.000562
98,2.927000,0.000562
99,2.917000,0.000562
