Integration Number,Time (s),Max Area Error
0,0.094000,0.922245
1,0.115000,0.425254
2,0.119000,0.050270
3,0.083000,0.050270
4,0.101000,0.021821
5,0.085000,0.021821
6,0.098000,0.002792
7,0.085000,0.002792
8,0.088000,0.002792
9,0.311000,0.002792
10,1.190000,0.002792
11,4.746000,0.002792
12,4.649000,0.002792
13,4.761000,0.002792
14,4.651000,0.002792
15,4.670000,0.002168
16,4.692000,0.002168
17,4.668000,0.002168
18,4.675000,0.002168
19,4.828000,0.001924
20,4.781000,0.001924
21,4.695000,0.001619
22,4.552000,0.000948
23,4.637000,0.000948
24,4.644000,0.000948
25,4.636000,0.000948
26,4.766000,0.000948
27,4.638000,0.000948
28,4.728000,0.000948
29,4.665000,0.000948
30,4.651000,0.000948
31,4.713000,0.000948
32,4.851000,0.000948
33,4.650000,0.000948
34,4.664000,0.000948
35,4.694000,0.000948
36,4.671000,0.000948
37,4.725000,0.000948
38,4.788000,0.000948
39,4.757000,0.000651
40,4.635000,0.000651
41,4.687000,0.000651
42,4.687000,0.000651
43,4.641000,0.000651
44,4.667000,0.000651
45,4.810000,0.000651
46,4.726000,0.000651
47,4.713000,0.000651
48,4.726000,0.000651
49,4.651000,0.000651
50,4.639000,0.000651
51,4.750000,0.000651
52,4.653000,0.000651
53,4.645000,0.000651
54,4.684000,0.000651
55,4.716000,0.000651
56,4.664000,0.000651
57,4.628000,0.000651
58,4.738000,0.000651
59,4.645000,0.000651
60,4.649000,0.000651
61,4.683000,0.000651
62,4.642000,0.000651
63,4.650000,0.000651
64,4.832000,0.000651
65,4.646000,0.000651
66,4.650000,0.000651
67,4.671000,0.000651
68,4.652000,0.000651
69,4.640000,0.000651
70,4.700000,0.000651
71,4.698000,0.000651
72,4.646000,0.000651
73,4.727000,0.000651
74,4.674000,0.000651
75,4.642000,0.000651
76,4.619000,0.000651
77,4.746000,0.000651
78,4.635000,0.000651
79,4.620000,0.000651
80,4.673000,0.000651
81,4.627000,0.000651
82,4.721000,0.000651
83,4.748000,0.000651
84,4.635000,0.000651
85,4.617000,0.000651
86,4.644000,0.000651
87,4.665000,0.000651
88,4.624000,0.000651
89,4.632000,0.000651
90,4.720000,0.000651
91,4.695000,0.000651
92,4.627000,0.000651
93,4.675000,0.000651
94,4.673000,0.000651
95,4.627000,0.000651
96,4.859000,0.000651
97,4.661000,0.000651
98,4.629000,0.000651
99,4.673000,0.000651
