Integration Number,Time (s),Max Area Error
0,0.079000,8.462910
1,0.295000,3.734333
2,0.176000,0.925709
3,0.117000,0.422331
4,0.099000,0.175216
5,0.094000,0.083361
6,0.090000,0.031707
7,0.087000,0.012824
8,0.088000,0.011960
9,0.085000,0.008524
10,0.085000,0.006707
11,0.085000,0.005303
12,0.084000,0.004484
13,0.087000,0.004151
14,0.085000,0.003773
15,0.084000,0.003290
16,0.084000,0.003008
17,0.085000,0.002970
18,0.084000,0.002354
19,0.085000,0.002085
20,0.085000,0.001896
21,0.082000,0.001896
22,0.085000,0.001686
23,0.083000,0.001575
24,0.083000,0.001575
25,0.085000,0.001515
26,0.085000,0.001447
27,0.084000,0.001396
28,0.082000,0.001412
29,0.085000,0.001422
30,0.277000,0.001099
31,0.255000,0.001099
32,0.263000,0.001099
33,1.080000,0.001059
34,1.003000,0.000936
35,0.974000,0.000936
36,1.001000,0.000936
37,4.035000,0.000740
38,3.887000,0.000740
39,3.898000,0.000740
40,3.911000,0.000740
41,3.934000,0.000740
42,3.907000,0.000740
43,3.893000,0.000740
44,3.900000,0.000740
45,4.011000,0.000740
46,3.989000,0.000740
47,3.897000,0.000740
48,3.910000,0.000743
49,3.945000,0.000744
50,3.907000,0.000744
51,3.916000,0.000743
52,3.908000,0.000742
53,4.014000,0.000741
54,3.888000,0.000739
55,3.888000,0.000738
56,3.947000,0.000734
57,3.990000,0.000734
58,3.869000,0.000734
59,3.866000,0.000734
60,3.996000,0.000734
61,3.895000,0.000736
62,3.915000,0.000737
63,3.917000,0.000738
64,3.951000,0.000737
65,4.049000,0.000737
66,3.924000,0.000736
67,4.061000,0.000735
68,4.093000,0.000734
69,3.910000,0.000733
70,3.915000,0.000731
71,3.920000,0.000730
72,3.967000,0.000729
73,3.921000,0.000728
74,3.920000,0.000727
75,3.961000,0.000725
76,3.998000,0.000724
77,3.916000,0.000723
78,3.996000,0.000722
79,3.951000,0.000721
80,3.913000,0.000720
81,3.912000,0.000719
82,3.909000,0.000718
83,4.027000,0.000717
84,3.914000,0.000716
85,3.919000,0.000715
86,3.916000,0.000714
87,3.970000,0.000713
88,3.983000,0.000712
89,3.906000,0.000712
90,3.923000,0.000711
91,4.046000,0.000710
92,3.944000,0.000709
93,3.924000,0.000708
94,3.933000,0.000708
95,3.944000,0.000707
96,3.918000,0.000706
97,3.916000,0.000705
98,4.002000,0.000705
99,4.017000,0.000704
