Integration Number,Time (s),Max Area Error
0,0.027000,4.718031
1,0.064000,1.600639
2,0.077000,0.354192
3,0.055000,0.078457
4,0.036000,0.032354
5,0.037000,0.024730
6,0.034000,0.016463
7,0.035000,0.012171
8,0.037000,0.009802
9,0.032000,0.006706
10,0.030000,0.006212
11,0.031000,0.005380
12,0.034000,0.004337
13,0.030000,0.003766
14,0.034000,0.003459
15,0.031000,0.003106
16,0.030000,0.002895
17,0.030000,0.002752
18,0.028000,0.002727
19,0.030000,0.002383
20,0.033000,0.002150
21,0.031000,0.002139
22,0.030000,0.001917
23,0.028000,0.001782
24,0.031000,0.001696
25,0.031000,0.001682
26,0.030000,0.001673
27,0.030000,0.001507
28,0.030000,0.001394
29,0.031000,0.001376
30,0.030000,0.001250
31,0.031000,0.001243
32,0.031000,0.001176
33,0.031000,0.001162
34,0.031000,0.001104
35,0.031000,0.001085
36,0.030000,0.001064
37,0.029000,0.001055
38,0.031000,0.001045
39,0.030000,0.001048
40,0.032000,0.000908
41,0.030000,0.000895
42,0.030000,0.000895
43,0.029000,0.000890
44,0.029000,0.000884
45,0.030000,0.000869
46,0.030000,0.000861
47,0.031000,0.000851
48,0.031000,0.000839
49,0.031000,0.000839
50,0.030000,0.000816
51,0.030000,0.000802
52,0.031000,0.000781
53,0.030000,0.000791
54,0.031000,0.000792
55,0.063000,0.000788
56,0.063000,0.000785
57,0.067000,0.000788
58,0.191000,0.000785
59,0.202000,0.000788
60,0.706000,0.000787
61,0.687000,0.000790
62,0.684000,0.000789
63,0.683000,0.000792
64,0.683000,0.000791
65,0.682000,0.000794
66,0.683000,0.000792
67,0.702000,0.000779
68,0.705000,0.000774
69,0.756000,0.000687
70,0.677000,0.000689
71,0.679000,0.000695
72,0.683000,0.000655
73,0.681000,0.000655
74,0.676000,0.000654
75,0.673000,0.000651
76,0.680000,0.000649
77,0.681000,0.000649
78,0.684000,0.000645
79,0.678000,0.000643
80,0.678000,0.000641
81,0.676000,0.000639
82,0.677000,0.000637
83,0.680000,0.000635
84,0.674000,0.000589
85,0.662000,0.000589
86,0.665000,0.000589
87,0.676000,0.000589
88,0.665000,0.000589
89,0.672000,0.000589
90,0.756000,0.000589
91,0.666000,0.000589
92,0.665000,0.000589
93,0.661000,0.000589
94,0.664000,0.000589
95,0.667000,0.000589
96,0.704000,0.000589
97,0.663000,0.000589
98,0.665000,0.000589
99,0.665000,0.000589
