Integration Number,Time (s),Max Area Error
0,0.121000,834.388758
1,0.836000,637.762844
2,0.283000,317.978390
3,0.423000,186.154063
4,0.636000,114.064009
5,0.788000,66.418177
6,0.827000,40.887441
7,0.800000,20.468114
8,0.763000,7.968629
9,0.600000,2.226219
10,0.442000,0.895326
11,0.375000,0.876070
12,0.325000,0.846544
13,0.280000,0.794903
14,0.249000,0.718966
15,0.199000,0.634925
16,0.222000,0.530204
17,0.172000,0.445293
18,0.172000,0.356110
19,0.168000,0.288946
20,0.165000,0.238841
21,0.161000,0.219448
22,0.163000,0.177613
23,0.159000,0.151726
24,0.157000,0.120347
25,0.155000,0.103397
26,0.149000,0.080077
27,0.158000,0.069424
28,0.160000,0.062749
29,0.150000,0.059665
30,0.150000,0.057982
31,0.156000,0.055393
32,0.150000,0.053522
33,0.148000,0.051364
34,0.148000,0.049406
35,0.150000,0.047702
36,0.151000,0.045619
37,0.163000,0.043893
38,0.146000,0.041982
39,0.147000,0.040352
40,0.145000,0.038623
41,0.148000,0.037165
42,0.149000,0.035475
43,0.146000,0.034471
44,0.143000,0.032533
45,0.151000,0.031345
46,0.146000,0.029487
47,0.145000,0.028390
48,0.148000,0.026835
49,0.147000,0.025687
50,0.156000,0.024319
51,0.144000,0.023311
52,0.153000,0.022151
53,0.146000,0.021072
54,0.148000,0.020164
55,0.150000,0.019115
56,0.150000,0.018252
57,0.145000,0.017412
58,0.146000,0.016532
59,0.149000,0.015791
60,0.154000,0.014988
61,0.146000,0.014342
62,0.147000,0.013590
63,0.145000,0.012977
64,0.146000,0.012323
65,0.149000,0.011771
66,0.152000,0.011385
67,0.148000,0.010892
68,0.153000,0.010335
69,0.146000,0.009857
