Integration Number,Time (s),Max Area Error
0,0.107000,155.801323
1,0.714000,68.309667
2,0.243000,29.289873
3,0.338000,14.181747
4,0.517000,8.168487
5,0.647000,4.525715
6,0.657000,2.632689
7,0.629000,1.878088
8,0.641000,0.949522
9,0.491000,0.902909
10,0.372000,0.892786
11,0.308000,0.867014
12,0.220000,0.827316
13,0.200000,0.763550
14,0.172000,0.689343
15,0.168000,0.604799
16,0.161000,0.515907
17,0.148000,0.440052
18,0.149000,0.353760
19,0.148000,0.296977
20,0.147000,0.224491
21,0.145000,0.187165
22,0.147000,0.135508
23,0.149000,0.113909
24,0.144000,0.078386
25,0.139000,0.066625
26,0.138000,0.045205
27,0.141000,0.038464
28,0.135000,0.027751
29,0.140000,0.023021
30,0.135000,0.017420
31,0.141000,0.014416
32,0.138000,0.011318
33,0.136000,0.009299
