Integration Number,Time (s),Max Area Error
0,0.083000,41.267682
1,0.371000,46.114004
2,0.355000,18.478970
3,0.560000,17.908600
4,0.668000,13.917826
5,0.706000,8.433503
6,0.712000,7.780436
7,0.677000,5.638105
8,0.636000,3.469336
9,0.610000,2.243200
10,0.604000,1.846960
11,0.614000,1.580022
12,0.590000,1.592635
13,0.640000,1.485970
14,0.613000,1.506694
15,0.611000,1.408149
16,0.638000,1.366471
17,0.596000,1.282087
18,0.597000,1.324503
19,0.633000,1.197398
20,0.600000,1.209858
21,0.589000,1.162992
22,0.575000,1.128710
23,0.576000,1.113461
24,0.597000,1.101655
25,0.579000,1.035955
26,0.583000,1.137750
27,1.496000,0.994321
28,1.374000,0.989594
29,1.363000,0.986203
30,1.335000,0.976953
31,1.302000,0.970305
32,1.271000,0.928255
33,1.230000,0.930629
34,1.217000,0.852419
35,1.181000,0.864699
36,1.193000,0.817325
37,1.119000,0.831963
38,1.154000,0.783813
39,1.115000,0.812560
40,1.107000,0.754931
41,1.085000,0.800515
42,1.123000,0.747290
43,1.124000,0.794818
44,1.088000,0.717403
45,1.036000,0.770376
46,1.033000,0.701671
47,1.053000,0.759027
48,1.035000,0.685888
49,0.995000,0.749836
50,1.002000,0.671506
51,0.977000,0.744625
52,1.025000,0.671919
53,0.937000,0.732942
54,1.008000,0.649560
55,0.901000,0.717341
56,0.929000,0.620971
57,0.899000,0.704433
58,0.924000,0.591122
59,0.878000,0.692554
60,0.912000,0.562378
61,0.838000,0.547032
62,0.867000,0.478131
63,0.839000,0.533051
64,0.875000,0.455252
65,0.798000,0.498174
66,0.798000,0.417180
67,0.784000,0.459975
68,0.811000,0.394211
69,0.764000,0.441285
70,0.798000,0.366236
71,0.771000,0.419006
72,0.796000,0.352336
73,0.735000,0.399116
74,0.780000,0.333986
75,0.745000,0.381860
76,0.787000,0.321969
77,0.723000,0.380175
78,0.743000,0.310934
79,0.702000,0.381629
80,1.919000,0.320726
81,1.661000,0.307758
82,1.443000,0.260012
83,1.218000,0.288385
84,1.111000,0.275159
85,0.962000,0.257101
86,0.959000,0.183303
87,0.901000,0.308778
88,2.299000,0.138095
89,1.979000,0.137521
90,1.884000,0.104277
91,1.880000,0.047504
92,2.150000,0.021215
93,1.873000,0.104239
94,2.090000,0.014522
95,1.947000,0.052974
96,1.787000,0.106166
97,2.514000,0.019964
98,2.678000,0.008898
