Integration Number,Time (s),Max Area Error
0,0.024000,100.404556
1,0.055000,61.314467
2,0.093000,23.272027
3,0.094000,7.014107
4,0.094000,2.674176
5,0.086000,1.542844
6,0.087000,1.251293
7,0.087000,1.203541
8,0.078000,1.141032
9,0.079000,1.174064
10,0.084000,1.114743
11,0.088000,1.178812
12,0.183000,0.822056
13,0.165000,0.717271
14,0.157000,0.660686
15,0.152000,0.593242
16,0.148000,0.516713
17,0.139000,0.437083
18,0.134000,0.359728
19,0.129000,0.279376
20,0.129000,0.306944
21,0.129000,0.199301
22,0.112000,0.271951
23,0.108000,0.165731
24,0.101000,0.230736
25,0.101000,0.144438
26,0.101000,0.195539
27,0.097000,0.121946
28,0.094000,0.160817
29,0.093000,0.102287
30,0.088000,0.131235
31,0.085000,0.084677
32,0.089000,0.111056
33,0.088000,0.073212
34,0.085000,0.090752
35,0.083000,0.060920
36,0.083000,0.076464
37,0.083000,0.052452
38,0.079000,0.062530
39,0.076000,0.043216
40,0.081000,0.051510
41,0.076000,0.035811
42,0.077000,0.042035
43,0.071000,0.029496
44,0.073000,0.034399
45,0.073000,0.024213
46,0.070000,0.028085
47,0.068000,0.019902
48,0.067000,0.022795
49,0.069000,0.016196
50,0.065000,0.018693
51,0.069000,0.013406
52,0.063000,0.015264
53,0.064000,0.010907
54,0.064000,0.012192
55,0.060000,0.008694
