Integration Number,Time (s),Max Area Error
0,0.122000,155.797442
1,0.455000,78.508007
2,0.254000,32.119374
3,0.345000,14.237071
4,0.507000,8.283734
5,0.644000,4.598538
6,0.598000,2.549875
7,0.569000,1.988882
8,0.571000,0.985621
9,0.419000,0.899857
10,0.347000,0.891382
11,0.279000,0.877980
12,0.227000,0.847276
13,0.186000,0.800771
14,0.176000,0.734407
15,0.167000,0.660371
16,0.164000,0.573430
17,0.164000,0.519715
18,0.151000,0.447429
19,0.154000,0.392377
20,0.152000,0.312171
21,0.152000,0.281004
22,0.148000,0.214224
23,0.151000,0.198368
24,0.144000,0.133717
25,0.155000,0.127026
26,0.145000,0.073080
27,0.149000,0.070904
28,0.143000,0.059762
29,0.150000,0.054425
30,0.143000,0.048209
31,0.145000,0.041664
32,0.146000,0.036842
33,0.150000,0.032816
34,0.144000,0.028349
35,0.142000,0.025070
36,0.143000,0.022353
37,0.145000,0.020060
38,0.140000,0.017592
39,0.144000,0.015554
40,0.145000,0.013451
41,0.148000,0.012077
42,0.144000,0.010814
43,0.144000,0.009511
