Integration Number,Time (s),Max Area Error
0,0.014000,856.363945
1,0.088000,578.696552
2,0.093000,196.044500
3,0.158000,86.728838
4,0.178000,44.686080
5,0.147000,24.886455
6,0.124000,12.172279
7,0.119000,5.920437
8,0.114000,3.102063
9,0.103000,1.527700
10,0.091000,1.188235
11,0.092000,1.011456
12,0.087000,0.887079
13,0.082000,0.718154
14,0.082000,0.601342
15,0.078000,0.500254
16,0.072000,0.428914
17,0.074000,0.358003
18,0.072000,0.310829
19,0.068000,0.254507
20,0.073000,0.225910
21,0.068000,0.177247
22,0.068000,0.165100
23,0.063000,0.116597
24,0.061000,0.120329
25,0.062000,0.069100
26,0.059000,0.089749
27,0.060000,0.035854
28,0.059000,0.069543
29,0.061000,0.024163
30,0.061000,0.045620
31,0.058000,0.020150
32,0.056000,0.032803
33,0.057000,0.012064
34,0.064000,0.021427
35,0.059000,0.010595
36,0.055000,0.015962
37,0.060000,0.006220
