Integration Number,Time (s),Max Area Error
0,0.085000,41.267682
1,0.274000,45.348485
2,0.341000,18.558958
3,0.516000,18.005795
4,0.636000,14.405231
5,0.729000,9.396998
6,0.742000,7.701872
7,0.682000,5.803637
8,0.662000,3.946027
9,0.608000,2.240863
10,0.682000,1.962765
11,0.620000,1.701879
12,0.591000,1.671320
13,0.609000,1.631132
14,0.594000,1.543521
15,0.607000,1.491782
16,0.612000,1.356477
17,0.580000,1.299573
18,0.586000,1.286873
19,0.570000,1.223621
20,0.576000,1.182219
21,0.570000,1.187923
22,0.630000,1.225520
23,1.557000,0.999628
24,1.479000,1.107670
25,1.486000,0.968240
26,1.605000,0.943209
27,1.547000,0.958463
28,1.235000,0.902309
29,1.223000,0.910560
30,1.290000,1.068356
31,3.332000,0.841416
32,2.787000,0.692983
33,2.904000,0.683504
34,2.503000,0.531687
35,2.291000,0.540635
36,2.127000,0.347529
37,1.829000,0.385803
38,1.784000,0.288065
39,1.554000,0.301269
40,1.308000,0.280476
41,1.236000,0.273249
42,1.338000,0.185483
43,1.137000,0.216673
44,1.092000,0.129482
45,0.950000,0.152631
46,1.157000,0.102246
47,1.274000,0.109151
48,0.965000,0.063503
49,0.904000,0.131073
50,3.478000,0.044971
51,3.430000,0.022531
52,2.139000,0.012048
53,2.088000,0.007068
