Integration Number,Time (s),Max Area Error
0,0.095000,155.706593
1,0.439000,76.429182
2,0.221000,29.472212
3,0.297000,13.725262
4,0.430000,8.930521
5,0.513000,5.001523
6,0.503000,2.577211
7,0.489000,1.160900
8,0.415000,0.988513
9,0.349000,0.985571
10,0.280000,0.980024
11,0.214000,0.962075
12,0.152000,0.925782
13,0.137000,0.844955
14,0.133000,0.722315
15,0.126000,0.551615
16,0.128000,0.398862
17,0.121000,0.289754
18,0.123000,0.231941
19,0.125000,0.154722
20,0.124000,0.129522
21,0.119000,0.078404
22,0.118000,0.069757
23,0.125000,0.041125
24,0.119000,0.035462
25,0.120000,0.023006
26,0.116000,0.019113
27,0.116000,0.014480
28,0.120000,0.011688
29,0.118000,0.009203
