Integration Number,Time (s),Max Area Error
0,0.022000,100.406239
1,0.066000,61.984935
2,0.119000,23.666824
3,0.152000,7.212999
4,0.118000,2.027639
5,0.091000,1.534682
6,0.087000,1.295171
7,0.090000,1.164257
8,0.085000,1.146386
9,0.084000,1.159166
10,0.083000,1.130408
11,0.083000,1.197394
12,0.223000,0.802002
13,0.176000,0.691837
14,0.164000,0.650259
15,0.162000,0.581910
16,0.149000,0.498214
17,0.140000,0.415641
18,0.129000,0.345624
19,0.127000,0.292721
20,0.125000,0.360058
21,0.309000,0.197924
22,0.271000,0.205188
23,0.203000,0.119022
24,0.180000,0.136482
25,0.175000,0.085497
26,0.162000,0.089594
27,0.149000,0.048495
28,0.145000,0.048996
29,0.148000,0.032188
30,0.138000,0.030853
31,0.138000,0.017148
32,0.133000,0.016830
33,0.132000,0.011278
34,0.130000,0.010401
35,0.132000,0.006171
36,0.132000,0.005872
37,0.130000,0.003985
38,0.127000,0.003988
39,0.127000,0.002773
40,0.127000,0.002375
41,0.130000,0.001415
42,0.140000,0.004931
43,0.473000,0.001547
44,0.448000,0.001224
45,0.435000,0.001217
46,0.430000,0.001214
47,0.434000,0.001212
48,0.433000,0.001157
49,0.436000,0.001144
50,0.437000,0.001138
51,0.435000,0.001150
52,0.444000,0.001117
53,0.434000,0.001106
54,0.436000,0.006435
55,0.449000,0.001246
56,0.437000,0.001080
57,0.420000,0.001077
58,0.433000,0.001072
59,0.434000,0.001068
60,0.432000,0.001053
61,0.432000,0.001049
62,0.430000,0.001046
63,0.443000,0.001042
64,0.535000,0.001033
65,0.439000,0.001026
66,0.429000,0.001018
67,0.423000,0.001015
68,0.428000,0.001012
69,0.430000,0.001008
70,0.418000,0.001005
71,0.424000,0.001002
72,0.443000,0.000999
73,0.420000,0.000996
74,0.422000,0.000992
75,0.423000,0.000989
76,0.434000,0.000983
77,0.427000,0.000980
78,0.423000,0.000977
79,0.425000,0.000974
80,0.442000,0.000971
81,0.428000,0.000968
82,0.432000,0.000966
83,0.440000,0.000962
84,0.428000,0.000958
85,0.423000,0.000955
86,0.426000,0.000952
87,0.421000,0.000950
88,0.422000,0.000947
89,0.426000,0.000945
90,0.425000,0.000942
91,0.424000,0.000939
92,0.427000,0.000937
93,0.420000,0.000934
94,0.430000,0.000932
95,0.421000,0.000930
96,0.424000,0.000927
97,0.427000,0.000925
98,0.473000,0.000921
99,0.423000,0.000918
