Integration Number,Time (s),Max Area Error
0,0.057000,80.531140
1,0.910000,25.769135
2,0.966000,5.273557
3,0.386000,2.392157
4,0.212000,1.225962
5,0.164000,0.620195
6,0.128000,0.305828
7,0.122000,0.097553
8,0.102000,0.028201
9,0.103000,0.007443
10,0.088000,0.006244
11,0.088000,0.005515
12,0.113000,0.004363
13,0.096000,0.004395
14,0.095000,0.003005
15,0.098000,0.002761
16,0.088000,0.002761
17,0.108000,0.002528
18,0.094000,0.002465
19,0.106000,0.002588
20,0.419000,0.002507
21,0.321000,0.001735
22,0.307000,0.001735
23,0.404000,0.001735
24,1.064000,0.001675
25,1.049000,0.001656
26,1.048000,0.001606
27,1.067000,0.001671
28,4.126000,0.001696
29,4.186000,0.001246
30,4.513000,0.001246
31,4.599000,0.001239
32,4.416000,0.001235
33,4.095000,0.001071
34,4.123000,0.001071
35,4.139000,0.001071
36,4.109000,0.001071
37,4.038000,0.001071
38,4.032000,0.001071
39,4.077000,0.001071
40,4.039000,0.001071
41,4.029000,0.001071
42,4.037000,0.001071
43,4.079000,0.001071
44,4.174000,0.001071
45,4.088000,0.000955
46,4.034000,0.000955
47,4.091000,0.000955
48,4.053000,0.000955
49,4.096000,0.000955
50,4.130000,0.000955
51,4.144000,0.000866
52,4.102000,0.000866
53,4.126000,0.000866
54,4.410000,0.000866
55,4.537000,0.000866
56,4.367000,0.000866
57,4.147000,0.000804
58,4.184000,0.000804
59,4.138000,0.000804
60,4.133000,0.000804
61,4.183000,0.000804
62,4.104000,0.000804
63,4.108000,0.000804
64,4.228000,0.000758
65,4.201000,0.000758
66,4.101000,0.000758
67,4.103000,0.000758
68,4.172000,0.000758
69,4.124000,0.000758
70,4.126000,0.000723
71,4.156000,0.000723
72,4.178000,0.000723
73,4.161000,0.000723
74,4.067000,0.000723
75,4.061000,0.000723
76,4.206000,0.000723
77,4.115000,0.000723
78,4.137000,0.000696
79,4.174000,0.000696
80,4.067000,0.000696
81,4.045000,0.000696
82,4.048000,0.000696
83,4.172000,0.000696
84,4.051000,0.000696
85,4.075000,0.000676
86,4.099000,0.000676
87,4.212000,0.000676
88,4.113000,0.000676
89,4.057000,0.000676
90,4.122000,0.000676
91,4.038000,0.000676
92,4.108000,0.000659
93,4.050000,0.000659
94,4.157000,0.000659
95,4.175000,0.000659
96,4.130000,0.000659
97,4.050000,0.000659
98,4.355000,0.000659
99,4.032000,0.000659
