Integration Number,Time (s),Max Area Error
0,0.077000,0.977033
1,0.218000,0.708828
2,0.145000,0.157949
3,0.112000,0.035584
4,0.097000,0.028867
5,0.100000,0.013681
6,0.087000,0.013681
7,0.100000,0.006721
8,0.098000,0.006721
9,0.102000,0.006721
10,0.327000,0.005398
11,0.334000,0.003245
12,0.313000,0.003245
13,0.320000,0.003245
14,1.240000,0.003245
15,4.859000,0.003245
16,4.868000,0.000984
17,4.920000,0.000984
18,4.903000,0.000984
19,4.794000,0.000984
20,4.757000,0.000984
21,4.774000,0.000984
22,4.787000,0.000984
23,4.867000,0.000984
24,4.811000,0.000984
25,4.764000,0.000984
26,4.786000,0.000984
27,4.776000,0.000984
28,4.734000,0.000984
29,4.922000,0.000984
30,4.802000,0.000984
31,4.755000,0.000984
32,4.784000,0.000984
33,4.928000,0.000984
34,4.876000,0.000984
35,4.921000,0.000984
36,4.860000,0.000984
37,4.837000,0.000984
38,4.795000,0.000984
39,4.753000,0.000984
40,5.022000,0.000282
41,4.427000,0.000282
42,4.552000,0.000282
43,4.440000,0.000282
44,4.426000,0.000282
45,4.453000,0.000282
46,4.490000,0.000282
47,4.516000,0.000282
48,4.585000,0.000282
49,4.459000,0.000282
50,4.539000,0.000282
51,4.487000,0.000282
52,4.483000,0.000282
53,4.687000,0.000282
54,4.480000,0.000282
55,4.605000,0.000282
56,4.639000,0.000282
57,4.543000,0.000282
58,4.579000,0.000282
59,4.541000,0.000282
60,4.515000,0.000282
61,4.510000,0.000282
62,4.583000,0.000282
63,4.468000,0.000282
64,4.431000,0.000282
65,4.441000,0.000282
66,4.436000,0.000282
67,4.470000,0.000282
68,4.647000,0.000282
69,4.509000,0.000282
70,4.518000,0.000282
71,4.479000,0.000282
72,4.452000,0.000282
73,4.472000,0.000282
74,4.548000,0.000282
75,4.779000,0.000282
76,4.499000,0.000282
77,4.497000,0.000282
78,4.557000,0.000282
79,4.695000,0.000282
80,4.787000,0.000282
81,4.636000,0.000282
82,4.581000,0.000282
83,4.531000,0.000282
84,4.628000,0.000282
85,4.506000,0.000282
86,4.516000,0.000282
87,4.504000,0.000282
88,4.685000,0.000282
89,4.684000,0.000282
90,4.652000,0.000282
91,4.486000,0.000282
92,4.590000,0.000282
93,4.452000,0.000282
94,4.463000,0.000282
95,4.575000,0.000282
96,4.572000,0.000282
97,4.485000,0.000282
98,4.484000,0.000282
99,4.481000,0.000282
