Integration Number,Time (s),Max Area Error
0,0.031000,50.552023
1,0.113000,49.069492
2,0.098000,16.594254
3,0.135000,10.811837
4,0.137000,5.960229
5,0.125000,2.500739
6,0.096000,1.454987
7,0.062000,0.837236
8,0.051000,0.347811
9,0.050000,0.125599
10,0.044000,0.041179
11,0.035000,0.014982
12,0.041000,0.007284
13,0.040000,0.005971
14,0.036000,0.005356
15,0.037000,0.004842
16,0.035000,0.004790
17,0.040000,0.003887
18,0.034000,0.003488
19,0.037000,0.003133
20,0.038000,0.002823
21,0.036000,0.002528
22,0.036000,0.002395
23,0.036000,0.002338
24,0.040000,0.002153
25,0.032000,0.002060
26,0.034000,0.002022
27,0.035000,0.001928
28,0.034000,0.001895
29,0.034000,0.001822
30,0.035000,0.001786
31,0.034000,0.001749
32,0.039000,0.003537
33,0.065000,0.001603
34,0.054000,0.001599
35,0.052000,0.001551
36,0.057000,0.001504
37,0.051000,0.001500
38,0.055000,0.001502
39,0.058000,0.001487
40,0.052000,0.001487
41,0.056000,0.001478
42,0.052000,0.001475
43,0.053000,0.001471
44,0.051000,0.001467
45,0.058000,0.001463
46,0.052000,0.001460
47,0.055000,0.001105
48,0.051000,0.001106
49,0.058000,0.001106
50,0.164000,0.001106
51,0.527000,0.001107
52,0.493000,0.001107
53,0.492000,0.001107
54,0.496000,0.001089
55,0.497000,0.001070
56,0.579000,0.001070
57,0.499000,0.001053
58,0.495000,0.001052
59,0.497000,0.001035
60,0.492000,0.001035
61,0.494000,0.001017
62,0.490000,0.001017
63,0.494000,0.001000
64,0.496000,0.001000
65,0.495000,0.001000
66,0.496000,0.000983
67,0.498000,0.000983
68,0.500000,0.000966
69,0.494000,0.000966
70,0.496000,0.000966
71,0.500000,0.000950
72,0.494000,0.000950
73,0.488000,0.000950
74,0.498000,0.000934
75,0.493000,0.000933
76,0.489000,0.000933
77,0.494000,0.000933
78,0.498000,0.000917
79,0.502000,0.000917
80,0.485000,0.000917
81,0.491000,0.000917
82,0.496000,0.000902
83,0.492000,0.000902
84,0.494000,0.000901
85,0.509000,0.000901
86,0.523000,0.000901
87,0.496000,0.000886
88,0.502000,0.000886
89,0.492000,0.000886
90,0.492000,0.000886
91,0.499000,0.000886
92,0.490000,0.000886
93,0.495000,0.000871
94,0.493000,0.000871
95,0.491000,0.000871
96,0.495000,0.000871
97,0.492000,0.000870
98,0.489000,0.000870
99,0.492000,0.000870
