Integration Number,Time (s),Max Area Error
0,0.071000,0.750200
1,0.071000,0.750200
2,0.106000,0.016191
3,0.112000,0.016191
4,0.112000,0.016191
5,0.114000,0.016191
6,0.446000,0.016191
7,1.774000,0.016191
8,7.271000,0.006604
9,33.690000,0.006604
10,33.121000,0.006604
11,34.384000,0.006604
12,33.072000,0.006604
13,32.951000,0.002778
14,59.808000,0.002778
15,58.201000,0.002778
16,59.169000,0.002778
17,60.503000,0.002778
18,54.530000,0.002778
19,55.122000,0.002778
20,59.114000,0.002778
21,57.699000,0.002778
22,58.912000,0.001164
23,60.191000,0.001164
24,58.544000,0.001164
25,62.020000,0.001164
26,62.679000,0.001164
27,410.762000,0.001164
28,63.683000,0.001164
29,61.156000,0.001164
30,60.853000,0.001164
31,56.143000,0.001164
32,58.664000,0.001164
33,61.408000,0.001164
34,61.970000,0.001164
35,65.145000,0.001164
36,62.322000,0.001164
37,61.790000,0.001164
38,64.902000,0.001164
39,68.052000,0.001164
40,63.459000,0.001164
41,64.143000,0.001164
42,62.685000,0.001164
43,61.835000,0.001164
44,62.396000,0.001164
45,62.975000,0.001164
46,58.456000,0.001164
47,62.911000,0.001164
48,58.222000,0.001164
49,60.337000,0.001164
50,66.696000,0.001164
51,62.144000,0.001164
52,63.258000,0.001164
53,59.064000,0.000227
54,55.222000,0.000227
55,57.094000,0.000227
56,57.276000,0.000227
57,54.230000,0.000227
58,57.521000,0.000227
59,53.399000,0.000227
60,61.293000,0.000227
61,56.155000,0.000227
62,57.533000,0.000227
63,55.617000,0.000227
64,56.853000,0.000227
65,57.739000,0.000227
66,56.576000,0.000227
67,56.914000,0.000227
68,57.208000,0.000227
69,56.690000,0.000227
70,58.378000,0.000227
71,62.587000,0.000227
72,55.616000,0.000227
73,56.997000,0.000227
74,57.791000,0.000227
75,57.055000,0.000227
76,58.961000,0.000227
77,54.139000,0.000227
78,63.775000,0.000227
79,59.588000,0.000227
80,57.559000,0.000227
81,58.113000,0.000227
82,56.355000,0.000227
83,56.782000,0.000227
84,60.993000,0.000227
85,56.147000,0.000227
86,56.596000,0.000227
87,56.972000,0.000227
88,56.911000,0.000227
89,56.984000,0.000227
90,57.873000,0.000227
91,56.920000,0.000227
92,58.583000,0.000227
93,64.346000,0.000227
94,55.225000,0.000227
95,58.978000,0.000227
96,52.279000,0.000227
97,59.042000,0.000227
98,52.671000,0.000227
99,59.058000,0.000227
