Integration Number,Time (s),Max Area Error
0,0.037000,17.497852
1,0.161000,2.196454
2,0.108000,0.606692
3,0.078000,0.157287
4,0.070000,0.031516
5,0.096000,0.027540
6,0.059000,0.019308
7,0.089000,0.010640
8,0.046000,0.010640
9,0.059000,0.008303
10,0.058000,0.007622
11,0.059000,0.007363
12,0.067000,0.003689
13,0.045000,0.003689
14,0.058000,0.003644
15,0.058000,0.003431
16,0.059000,0.002990
17,0.058000,0.002782
18,0.056000,0.002711
19,0.057000,0.002682
20,0.063000,0.001718
21,0.045000,0.001718
22,0.048000,0.001718
23,0.161000,0.001718
24,0.594000,0.001718
25,2.308000,0.001761
26,2.303000,0.001728
27,2.263000,0.001698
28,2.291000,0.001670
29,2.305000,0.001645
30,2.381000,0.001621
31,2.307000,0.001599
32,2.306000,0.001578
33,2.320000,0.002274
34,2.290000,0.001947
35,2.298000,0.001353
36,2.265000,0.001345
37,2.331000,0.001343
38,2.273000,0.001248
39,2.268000,0.001248
40,2.270000,0.001248
41,2.278000,0.001249
42,2.317000,0.001249
43,2.375000,0.001250
44,2.296000,0.001191
45,2.296000,0.001191
46,2.294000,0.001191
47,2.293000,0.001191
48,2.301000,0.001191
49,2.332000,0.001152
50,2.366000,0.001152
51,2.288000,0.001153
52,2.320000,0.001153
53,2.325000,0.000623
54,2.264000,0.000623
55,2.252000,0.000623
56,2.310000,0.000623
57,2.237000,0.000623
58,2.232000,0.000623
59,2.240000,0.000623
60,2.241000,0.000623
61,2.267000,0.000623
62,2.233000,0.000623
63,2.310000,0.000623
64,2.232000,0.000623
65,2.236000,0.000623
66,2.237000,0.000623
67,2.240000,0.000623
68,2.233000,0.000623
69,2.235000,0.000623
70,2.300000,0.000623
71,2.238000,0.000623
72,2.258000,0.000623
73,2.257000,0.000623
74,2.250000,0.000623
75,2.269000,0.000623
76,2.314000,0.000623
77,2.255000,0.000623
78,2.259000,0.000623
79,2.286000,0.000623
80,2.248000,0.000623
81,2.257000,0.000623
82,2.299000,0.000624
83,2.372000,0.000624
84,2.308000,0.000624
85,2.306000,0.000624
86,2.294000,0.000624
87,2.285000,0.000624
88,2.274000,0.000624
89,2.339000,0.000624
90,2.293000,0.000624
91,2.281000,0.000624
92,2.301000,0.000625
93,2.298000,0.000625
94,2.294000,0.000625
95,2.284000,0.000625
96,2.348000,0.000625
97,2.279000,0.000625
98,2.290000,0.000625
99,2.296000,0.000625
