Integration Number,Time (s),Max Area Error
0,0.028000,9.108930
1,0.090000,1.284032
2,0.080000,0.161194
3,0.068000,0.058660
4,0.071000,0.020958
5,0.066000,0.020958
6,0.074000,0.018054
7,0.068000,0.010068
8,0.066000,0.010068
9,0.069000,0.010068
10,0.211000,0.007040
11,0.209000,0.006738
12,0.209000,0.006282
13,0.215000,0.004285
14,0.209000,0.004248
15,0.215000,0.002274
16,0.207000,0.002274
17,0.210000,0.002274
18,0.762000,0.002078
19,0.736000,0.002078
20,0.773000,0.002078
21,3.001000,0.002078
22,2.922000,0.002078
23,2.899000,0.002062
24,2.947000,0.002001
25,2.946000,0.001944
26,3.026000,0.001889
27,2.963000,0.001836
28,2.962000,0.001786
29,2.960000,0.001645
30,2.980000,0.001490
31,3.178000,0.001381
32,2.932000,0.001284
33,2.920000,0.001195
34,2.936000,0.001115
35,2.925000,0.001105
36,2.999000,0.001032
37,2.920000,0.000965
38,2.907000,0.000959
39,2.922000,0.000897
40,2.945000,0.000892
41,3.027000,0.000830
42,3.002000,0.000830
43,2.918000,0.000830
44,2.880000,0.000830
45,2.863000,0.000830
46,3.036000,0.000830
47,2.918000,0.000830
48,2.938000,0.000830
49,3.222000,0.000830
50,2.947000,0.000830
51,2.953000,0.000830
52,2.971000,0.000830
53,2.888000,0.000830
54,2.883000,0.000830
55,2.932000,0.000830
56,2.940000,0.000830
57,4.191000,0.000830
58,2.950000,0.000830
59,2.982000,0.000830
60,2.961000,0.000830
61,2.994000,0.000830
62,3.154000,0.000830
63,3.461000,0.000830
64,3.030000,0.000830
65,2.936000,0.000830
66,2.941000,0.000830
67,2.905000,0.000830
68,2.987000,0.000830
69,2.935000,0.000830
70,2.930000,0.000830
71,3.005000,0.000830
72,3.000000,0.000830
73,2.944000,0.000830
74,3.181000,0.000830
75,3.857000,0.000830
76,3.125000,0.000830
77,3.165000,0.000830
78,3.038000,0.000830
79,2.985000,0.000830
80,2.934000,0.000830
81,3.036000,0.000830
82,2.961000,0.000830
83,2.936000,0.000830
84,3.040000,0.000830
85,3.043000,0.000830
86,2.970000,0.000830
87,2.955000,0.000830
88,2.918000,0.000830
89,2.930000,0.000830
90,3.009000,0.000830
91,2.927000,0.000830
92,2.922000,0.000830
93,2.902000,0.000830
94,2.913000,0.000830
95,2.932000,0.000830
96,2.904000,0.000830
97,2.913000,0.000830
98,2.950000,0.000830
99,2.974000,0.000830
