Integration Number,Time (s),Max Area Error
0,0.028000,7.602093
1,0.071000,1.443206
2,0.070000,0.119311
3,0.053000,0.049009
4,0.050000,0.049011
5,0.082000,0.010451
6,0.065000,0.010452
7,0.066000,0.010452
8,0.200000,0.010117
9,0.210000,0.010118
10,0.232000,0.009118
11,0.230000,0.003384
12,0.213000,0.003370
13,0.200000,0.003367
14,0.224000,0.003338
15,0.202000,0.003313
16,0.228000,0.003293
17,0.198000,0.003173
18,0.200000,0.002948
19,0.232000,0.002705
20,0.201000,0.002480
21,0.205000,0.002383
22,0.199000,0.002189
23,0.197000,0.002012
24,0.196000,0.001987
25,0.198000,0.001835
26,0.210000,0.001629
27,0.183000,0.001629
28,0.185000,0.001611
29,0.202000,0.001596
30,0.222000,0.001583
31,0.282000,0.001572
32,0.239000,0.001563
33,0.262000,0.001555
34,0.224000,0.001547
35,0.261000,0.001498
36,0.252000,0.001488
37,0.205000,0.001479
38,0.260000,0.001434
39,0.234000,0.001424
40,0.237000,0.001415
41,0.230000,0.001407
42,0.246000,0.001366
43,0.236000,0.001356
44,0.246000,0.001347
45,0.238000,0.001340
46,0.258000,0.001333
47,0.249000,0.001327
48,0.265000,0.001292
49,0.230000,0.001283
50,0.246000,0.001275
51,0.244000,0.001268
52,0.266000,0.001262
53,0.317000,0.001257
54,0.337000,0.000483
55,0.226000,0.000483
56,0.339000,0.000483
57,1.004000,0.000483
58,3.343000,0.000483
59,3.454000,0.000483
60,2.884000,0.000483
61,2.814000,0.000483
62,2.777000,0.000483
63,2.775000,0.000483
64,2.775000,0.000483
65,2.767000,0.000483
66,2.783000,0.000483
67,2.755000,0.000483
68,2.786000,0.000483
69,2.801000,0.000483
70,2.769000,0.000483
71,2.764000,0.000483
72,2.824000,0.000483
73,2.809000,0.000483
74,2.867000,0.000483
75,2.906000,0.000483
76,2.799000,0.000483
77,2.784000,0.000483
78,2.822000,0.000483
79,2.754000,0.000483
80,2.760000,0.000483
81,2.755000,0.000483
82,2.738000,0.000483
83,2.741000,0.000483
84,2.756000,0.000483
85,2.758000,0.000483
86,2.871000,0.000483
87,2.754000,0.000483
88,2.751000,0.000483
89,2.747000,0.000483
90,2.810000,0.000483
91,2.869000,0.000483
92,2.890000,0.000483
93,2.842000,0.000483
94,2.863000,0.000483
95,2.930000,0.000483
96,3.059000,0.000483
97,2.860000,0.000483
98,2.793000,0.000483
99,2.747000,0.000483
