Integration Number,Time (s),Max Area Error
0,0.126000,155.800300
1,1.143000,68.309834
2,0.318000,29.293491
3,0.540000,14.178561
4,0.824000,8.170434
5,1.084000,4.565682
6,1.058000,2.458029
7,0.949000,1.830176
8,1.002000,0.916863
9,0.634000,0.901263
10,0.437000,0.892630
11,0.345000,0.866820
12,0.245000,0.812352
13,0.216000,0.770484
14,0.194000,0.679355
15,0.190000,0.630343
16,0.174000,0.470780
17,0.176000,0.437898
18,0.173000,0.268513
19,0.170000,0.250976
20,0.162000,0.182432
21,0.166000,0.157985
22,0.164000,0.094661
23,0.165000,0.085144
24,0.158000,0.040867
25,0.164000,0.038555
26,0.156000,0.022834
27,0.159000,0.020721
28,0.154000,0.014569
29,0.156000,0.012709
30,0.155000,0.009900
31,0.158000,0.008400
32,0.157000,0.006918
33,0.153000,0.006939
34,0.151000,0.005225
35,0.156000,0.005246
36,0.158000,0.005267
37,0.482000,0.002972
38,0.471000,0.002095
39,0.460000,0.002097
40,0.472000,0.002074
41,0.492000,0.002052
42,0.456000,0.002055
43,0.473000,0.002058
44,1.730000,0.001678
45,1.698000,0.001687
46,1.715000,0.001440
47,1.667000,0.001438
48,1.684000,0.001416
49,1.722000,0.002232
50,1.669000,0.001345
51,1.666000,0.001342
52,1.679000,0.007156
53,1.746000,0.001799
54,1.672000,0.001320
55,1.669000,0.001318
56,1.678000,0.001270
57,1.686000,0.001268
58,1.665000,0.001267
59,1.668000,0.001265
60,1.669000,0.001263
61,1.700000,0.001261
62,1.712000,0.001222
63,1.675000,0.001222
64,1.668000,0.001222
65,1.665000,0.001223
66,1.672000,0.001255
67,1.661000,0.001178
68,1.665000,0.001177
69,1.659000,0.001176
70,1.665000,0.001174
71,1.743000,0.001174
72,1.670000,0.001172
73,1.680000,0.001171
74,1.674000,0.001170
75,1.669000,0.001169
76,1.672000,0.001144
77,1.670000,0.001143
78,1.671000,0.001140
79,1.701000,0.001138
80,1.715000,0.001136
81,1.684000,0.001134
82,1.668000,0.001132
83,1.670000,0.001130
84,1.672000,0.001128
85,1.665000,0.001126
86,1.676000,0.001124
87,1.666000,0.001122
88,1.681000,0.001120
89,1.712000,0.001118
90,1.675000,0.001115
91,1.670000,0.001112
92,1.664000,0.001110
93,1.664000,0.001107
94,1.666000,0.001105
95,1.661000,0.001103
96,1.673000,0.001101
97,1.671000,0.001098
98,1.749000,0.001096
99,1.659000,0.001096
