Integration Number,Time (s),Max Area Error
0,0.094000,0.922278
1,0.129000,0.293168
2,0.114000,0.042381
3,0.083000,0.042381
4,0.099000,0.020535
5,0.084000,0.020535
6,0.104000,0.005831
7,0.083000,0.005831
8,0.085000,0.005831
9,0.304000,0.005831
10,1.227000,0.005831
11,4.645000,0.004008
12,4.633000,0.004008
13,4.653000,0.004008
14,4.700000,0.003844
15,4.666000,0.003712
16,4.663000,0.001570
17,4.442000,0.001570
18,4.413000,0.001570
19,4.396000,0.001570
20,4.458000,0.001570
21,4.380000,0.001570
22,4.380000,0.001570
23,4.388000,0.001570
24,4.467000,0.001570
25,4.380000,0.001570
26,4.419000,0.001570
27,4.474000,0.001570
28,4.378000,0.001570
29,4.381000,0.001570
30,4.422000,0.000264
31,4.505000,0.000264
32,4.437000,0.000264
33,4.448000,0.000264
34,4.514000,0.000264
35,4.447000,0.000264
36,4.460000,0.000264
37,4.900000,0.000264
38,4.589000,0.000264
39,4.695000,0.000264
40,4.642000,0.000264
41,6.469000,0.000264
42,5.020000,0.000264
43,4.600000,0.000264
44,4.567000,0.000264
45,4.423000,0.000264
46,4.554000,0.000264
47,4.572000,0.000264
48,4.466000,0.000264
49,4.441000,0.000264
50,4.477000,0.000264
51,4.843000,0.000264
52,5.058000,0.000264
53,4.827000,0.000264
54,4.831000,0.000264
55,4.738000,0.000264
56,4.805000,0.000264
57,4.473000,0.000264
58,4.461000,0.000264
59,4.578000,0.000264
60,4.412000,0.000264
61,4.422000,0.000264
62,4.407000,0.000264
63,4.419000,0.000264
64,4.426000,0.000264
65,4.467000,0.000264
66,4.547000,0.000264
67,4.445000,0.000264
68,4.422000,0.000264
69,4.432000,0.000264
70,4.466000,0.000264
71,4.610000,0.000264
72,4.585000,0.000264
73,4.750000,0.000264
74,4.656000,0.000264
75,4.554000,0.000264
76,4.554000,0.000264
77,4.637000,0.000264
78,4.725000,0.000264
79,4.846000,0.000264
80,4.567000,0.000264
81,4.733000,0.000264
82,4.507000,0.000264
83,4.618000,0.000264
84,4.545000,0.000264
85,4.554000,0.000264
86,4.643000,0.000264
87,4.445000,0.000264
88,4.508000,0.000264
89,4.524000,0.000264
90,4.421000,0.000264
91,4.480000,0.000264
92,4.553000,0.000264
93,4.467000,0.000264
94,4.526000,0.000264
95,4.448000,0.000264
96,4.506000,0.000264
97,4.417000,0.000264
98,4.445000,0.000264
99,4.528000,0.000264
