Integration Number,Time (s),Max Area Error
0,0.118000,0.962814
1,0.206000,0.221462
2,0.125000,0.038731
3,0.110000,0.038731
4,0.123000,0.015901
5,0.110000,0.015901
6,0.112000,0.015901
7,0.421000,0.004311
8,0.401000,0.004311
9,0.410000,0.004311
10,1.594000,0.004311
11,6.234000,0.004311
12,6.353000,0.004311
13,6.265000,0.004311
14,6.282000,0.001691
15,5.899000,0.001691
16,5.950000,0.001691
17,6.048000,0.001691
18,5.906000,0.001691
19,5.864000,0.001691
20,5.847000,0.001691
21,5.879000,0.001691
22,6.004000,0.001691
23,5.920000,0.000759
24,6.059000,0.000759
25,6.046000,0.000759
26,6.049000,0.000759
27,6.193000,0.000759
28,6.087000,0.000759
29,6.081000,0.000759
30,6.079000,0.000759
31,6.071000,0.000759
32,6.233000,0.000759
33,6.067000,0.000759
34,6.052000,0.000759
35,6.050000,0.000759
36,6.082000,0.000759
37,6.174000,0.000759
38,6.102000,0.000759
39,6.141000,0.000759
40,6.113000,0.000759
41,6.169000,0.000759
42,6.204000,0.000759
43,6.095000,0.000759
44,6.155000,0.000759
45,6.019000,0.000759
46,6.021000,0.000759
47,6.109000,0.000759
48,5.998000,0.000759
49,6.087000,0.000759
50,6.015000,0.000759
51,6.041000,0.000759
52,6.120000,0.000759
53,6.033000,0.000759
54,6.095000,0.000759
55,6.018000,0.000759
56,6.030000,0.000759
57,8.657000,0.000759
58,6.129000,0.000759
59,6.220000,0.000759
60,6.057000,0.000759
61,6.125000,0.000759
62,6.031000,0.000759
63,6.047000,0.000759
64,6.135000,0.000759
65,6.111000,0.000759
66,6.383000,0.000759
67,6.408000,0.000759
68,6.210000,0.000759
69,6.071000,0.000759
70,6.100000,0.000759
71,6.258000,0.000759
72,6.148000,0.000759
73,6.157000,0.000759
74,6.058000,0.000759
75,6.049000,0.000759
76,6.117000,0.000759
77,6.032000,0.000759
78,6.111000,0.000759
79,6.051000,0.000759
80,6.202000,0.000759
81,6.123000,0.000759
82,6.082000,0.000759
83,6.197000,0.000759
84,6.110000,0.000759
85,6.103000,0.000759
86,6.167000,0.000759
87,6.110000,0.000759
88,6.144000,0.000759
89,6.051000,0.000759
90,6.223000,0.000759
91,6.076000,0.000759
92,6.094000,0.000759
93,6.148000,0.000759
94,6.068000,0.000759
95,6.136000,0.000759
96,6.053000,0.000759
97,6.045000,0.000759
98,6.155000,0.000759
99,6.103000,0.000759
