Integration Number,Time (s),Max Area Error
0,0.045000,3.965059
1,0.113000,1.040003
2,0.120000,0.328715
3,0.059000,0.173214
4,0.073000,0.031624
5,0.045000,0.013443
6,0.031000,0.013443
7,0.044000,0.008795
8,0.045000,0.007019
9,0.031000,0.007019
10,0.032000,0.007019
11,0.111000,0.005657
12,0.099000,0.005584
13,0.113000,0.004691
14,0.110000,0.003948
15,0.111000,0.003360
16,0.112000,0.002712
17,0.098000,0.002712
18,0.110000,0.002317
19,0.099000,0.002317
20,0.111000,0.001948
21,0.098000,0.001948
22,0.110000,0.001655
23,0.098000,0.001655
24,0.110000,0.001408
25,0.099000,0.001408
26,0.103000,0.001408
27,0.377000,0.001211
28,0.361000,0.001211
29,0.396000,0.001211
30,1.419000,0.001125
31,1.389000,0.001125
32,1.412000,0.000992
33,1.405000,0.000992
34,1.416000,0.003039
35,1.392000,0.001044
36,1.347000,0.001044
37,1.352000,0.001044
38,1.426000,0.001044
39,1.345000,0.001044
40,1.352000,0.001044
41,1.343000,0.001044
42,1.396000,0.001044
43,1.363000,0.001044
44,1.360000,0.001044
45,1.356000,0.001044
46,1.364000,0.001044
47,1.365000,0.001044
48,1.357000,0.001044
49,1.427000,0.001044
50,1.400000,0.001044
51,1.362000,0.001044
52,1.363000,0.001044
53,1.358000,0.001044
54,1.362000,0.001044
55,1.379000,0.001044
56,1.376000,0.001044
57,1.362000,0.001044
58,1.362000,0.001044
59,1.360000,0.001044
60,1.425000,0.001044
61,1.407000,0.001044
62,1.361000,0.001044
63,1.356000,0.001044
64,1.361000,0.001044
65,1.362000,0.001044
66,1.358000,0.001044
67,1.411000,0.001044
68,1.363000,0.001044
69,1.360000,0.001044
70,1.369000,0.001044
71,1.431000,0.001044
72,1.377000,0.001044
73,1.344000,0.001044
74,1.348000,0.001044
75,1.401000,0.001044
76,1.372000,0.001044
77,1.347000,0.001044
78,1.354000,0.001044
79,1.350000,0.001044
80,1.355000,0.001044
81,1.351000,0.001044
82,1.433000,0.001044
83,1.351000,0.000867
84,1.374000,0.000867
85,1.369000,0.000867
86,1.371000,0.000867
87,1.375000,0.000867
88,1.370000,0.000867
89,1.374000,0.000867
90,1.373000,0.000867
91,1.374000,0.000867
92,1.379000,0.000867
93,1.446000,0.000867
94,1.379000,0.000867
95,1.374000,0.000867
96,1.370000,0.000867
97,1.372000,0.000867
98,1.375000,0.000867
99,1.372000,0.000867
