Integration Number,Time (s),Max Area Error
0,0.077000,6.427257
1,0.166000,1.190702
2,0.126000,0.309139
3,0.094000,0.124829
4,0.092000,0.028207
5,0.082000,0.016717
6,0.084000,0.016383
7,0.086000,0.009700
8,0.081000,0.009524
9,0.089000,0.006745
10,0.080000,0.006746
11,0.085000,0.005980
12,0.083000,0.004691
13,0.081000,0.004660
14,0.080000,0.004636
15,0.083000,0.004194
16,0.082000,0.003823
17,0.081000,0.003489
18,0.086000,0.002781
19,0.071000,0.002781
20,0.081000,0.002487
21,0.119000,0.002472
22,0.081000,0.002171
23,0.081000,0.001910
24,0.081000,0.001910
25,0.080000,0.001685
26,0.081000,0.001685
27,0.081000,0.001490
28,0.081000,0.001490
29,0.084000,0.001190
30,0.081000,0.001190
31,0.084000,0.001190
32,0.271000,0.001190
33,1.007000,0.001190
34,3.922000,0.001179
35,3.899000,0.001171
36,4.076000,0.001165
37,4.058000,0.001160
38,3.847000,0.001157
39,3.895000,0.001155
40,3.817000,0.001072
41,3.808000,0.001064
42,3.808000,0.001058
43,3.889000,0.001054
44,3.804000,0.001051
45,3.812000,0.000980
46,3.814000,0.000972
47,3.904000,0.000966
48,3.813000,0.000961
49,3.822000,0.000897
50,3.803000,0.000889
51,3.886000,0.000883
52,3.830000,0.000824
53,3.785000,0.000814
54,3.800000,0.000807
55,3.895000,0.000802
56,3.824000,0.000779
57,3.818000,0.000772
58,3.815000,0.000768
59,3.907000,0.000639
60,3.748000,0.000639
61,3.769000,0.000639
62,3.774000,0.000639
63,3.847000,0.000639
64,3.770000,0.000639
65,3.779000,0.000639
66,3.821000,0.000639
67,3.819000,0.000629
68,3.811000,0.000629
69,3.841000,0.000623
70,3.880000,0.000623
71,3.855000,0.000617
72,3.837000,0.000617
73,3.833000,0.000614
74,3.887000,0.000611
75,3.825000,0.000608
76,3.812000,0.000607
77,3.812000,0.000606
78,3.888000,0.000606
79,3.863000,0.000606
80,5.791000,0.000606
81,3.861000,0.000606
82,4.021000,0.000607
83,3.855000,0.000607
84,3.846000,0.000607
85,3.936000,0.000608
86,3.838000,0.000608
87,3.846000,0.000609
88,3.861000,0.000610
89,3.918000,0.000610
90,3.841000,0.000610
91,3.901000,0.000611
92,3.872000,0.000611
93,4.293000,0.000612
94,3.897000,0.000612
95,3.859000,0.000613
96,3.836000,0.000613
97,3.916000,0.000614
98,3.846000,0.000614
99,3.866000,0.000615
