Integration Number,Time (s),Max Area Error
0,0.025000,72.229541
1,0.095000,32.575973
2,0.182000,3.053161
3,0.091000,0.681516
4,0.066000,0.132412
5,0.051000,0.028608
6,0.042000,0.019817
7,0.037000,0.014295
8,0.037000,0.010426
9,0.038000,0.008749
10,0.038000,0.007393
11,0.036000,0.007195
12,0.037000,0.007103
13,0.037000,0.005084
14,0.037000,0.003825
15,0.036000,0.003592
16,0.037000,0.003238
17,0.036000,0.003111
18,0.036000,0.002661
19,0.036000,0.002381
20,0.035000,0.002281
21,0.035000,0.002308
22,0.037000,0.002204
23,0.034000,0.002185
24,0.034000,0.002145
25,0.038000,0.001577
26,0.034000,0.001578
27,0.035000,0.001603
28,0.085000,0.001616
29,0.249000,0.001243
30,0.229000,0.001244
31,0.247000,0.001203
32,0.224000,0.001202
33,0.262000,0.001202
34,0.944000,0.001202
35,0.928000,0.001200
36,0.935000,0.001199
37,0.935000,0.001191
38,0.940000,0.001191
39,0.936000,0.001193
40,0.943000,0.001181
41,0.938000,0.001174
42,0.936000,0.001171
43,1.015000,0.001167
44,0.936000,0.001160
45,0.936000,0.001155
46,0.936000,0.001152
47,0.934000,0.001150
48,0.936000,0.001144
49,0.936000,0.001141
50,0.938000,0.001136
51,0.932000,0.001133
52,0.933000,0.001132
53,0.944000,0.001125
54,0.943000,0.001123
55,0.943000,0.001121
56,1.013000,0.001115
57,0.944000,0.001113
58,0.993000,0.001111
59,1.014000,0.001109
60,0.947000,0.001102
61,0.983000,0.001100
62,0.956000,0.001099
63,0.974000,0.001092
64,0.959000,0.001089
65,0.955000,0.001087
66,0.975000,0.001082
67,0.951000,0.001079
68,0.952000,0.001078
69,0.965000,0.001074
70,0.925000,0.001074
71,0.949000,0.001073
72,0.939000,0.001072
73,0.952000,0.001071
74,0.944000,0.001070
75,0.994000,0.001069
76,0.941000,0.001067
77,0.943000,0.001061
78,0.949000,0.001055
79,0.955000,0.001049
80,0.948000,0.001041
81,0.946000,0.001037
82,0.945000,0.001031
83,0.940000,0.001026
84,0.943000,0.001020
85,0.957000,0.001015
86,0.942000,0.001009
87,0.967000,0.001004
88,0.964000,0.000999
89,0.974000,0.000993
90,1.017000,0.000988
91,0.978000,0.000983
92,0.952000,0.000978
93,0.955000,0.000972
94,0.947000,0.000968
95,0.966000,0.000963
96,0.949000,0.000958
97,0.940000,0.000953
98,0.940000,0.000948
99,0.943000,0.000942
