Integration Number,Time (s),Max Area Error
0,0.027000,4.718031
1,0.072000,1.318646
2,0.082000,0.361303
3,0.058000,0.106182
4,0.043000,0.029431
5,0.030000,0.022766
6,0.037000,0.017975
7,0.034000,0.011506
8,0.034000,0.010010
9,0.032000,0.007925
10,0.037000,0.007019
11,0.031000,0.005467
12,0.033000,0.004182
13,0.032000,0.004063
14,0.032000,0.002904
15,0.029000,0.002927
16,0.031000,0.002918
17,0.031000,0.002409
18,0.032000,0.002226
19,0.028000,0.002253
20,0.030000,0.002266
21,0.072000,0.001721
22,0.061000,0.001720
23,0.066000,0.001734
24,0.202000,0.001809
25,0.694000,0.001557
26,0.676000,0.001548
27,0.758000,0.001623
28,0.669000,0.001623
29,0.678000,0.001620
30,0.688000,0.001348
31,0.675000,0.001296
32,0.677000,0.001256
33,0.694000,0.001233
34,0.676000,0.001199
35,0.659000,0.001199
36,0.657000,0.001199
37,0.658000,0.001199
38,0.674000,0.001174
39,0.680000,0.000961
40,0.656000,0.000961
41,0.657000,0.000961
42,0.659000,0.000961
43,0.657000,0.000961
44,0.661000,0.000961
45,0.677000,0.000837
46,0.654000,0.000837
47,0.661000,0.000837
48,0.656000,0.000837
49,0.697000,0.000837
50,0.690000,0.000837
51,0.663000,0.000837
52,0.662000,0.000837
53,0.661000,0.000837
54,0.658000,0.000837
55,0.657000,0.000837
56,0.680000,0.000837
57,0.662000,0.000837
58,0.665000,0.000837
59,0.660000,0.000837
60,0.661000,0.000837
61,0.660000,0.000837
62,0.663000,0.000837
63,0.659000,0.000837
64,0.658000,0.000837
65,0.664000,0.000837
66,0.683000,0.000586
67,0.656000,0.000586
68,0.655000,0.000586
69,0.654000,0.000586
70,0.656000,0.000586
71,0.652000,0.000586
72,0.725000,0.000586
73,0.658000,0.000586
74,0.656000,0.000586
75,0.651000,0.000586
76,0.656000,0.000586
77,0.663000,0.000586
78,0.657000,0.000586
79,0.676000,0.000586
80,0.657000,0.000586
81,0.655000,0.000586
82,0.656000,0.000586
83,0.652000,0.000586
84,0.652000,0.000586
85,0.654000,0.000586
86,0.686000,0.000586
87,0.651000,0.000586
88,0.655000,0.000586
89,0.654000,0.000586
90,0.658000,0.000586
91,0.662000,0.000586
92,0.655000,0.000586
93,0.657000,0.000586
94,0.664000,0.000586
95,0.728000,0.000586
96,0.657000,0.000586
97,0.660000,0.000586
98,0.660000,0.000586
99,0.659000,0.000585
