Integration Number,Time (s),Max Area Error
0,0.102000,155.788729
1,1.242000,77.197264
2,0.291000,29.834318
3,0.434000,13.656516
4,0.730000,8.752885
5,0.939000,5.032023
6,0.808000,2.559968
7,0.788000,1.112084
8,0.593000,0.986051
9,0.444000,0.982327
10,0.354000,0.975565
11,0.254000,0.961960
12,0.209000,0.927621
13,0.158000,0.848785
14,0.149000,0.734396
15,0.137000,0.547880
16,0.137000,0.419580
17,0.133000,0.259452
18,0.142000,0.228455
19,0.130000,0.114137
20,0.134000,0.103474
21,0.129000,0.062916
22,0.129000,0.052113
23,0.139000,0.022399
24,0.126000,0.020699
25,0.129000,0.010237
26,0.123000,0.009799
27,0.131000,0.008624
28,0.129000,0.006671
29,0.124000,0.005192
30,0.119000,0.005221
31,0.126000,0.004080
32,0.120000,0.004111
33,0.123000,0.004111
34,0.384000,0.001825
35,0.401000,0.001822
36,0.391000,0.001824
37,1.447000,0.001833
38,1.403000,0.001646
39,1.366000,0.001428
40,1.372000,0.001410
41,1.374000,0.001388
42,1.412000,0.019862
43,1.476000,0.004217
44,1.366000,0.001373
45,1.382000,0.001372
46,1.414000,0.001369
47,1.389000,0.001372
48,1.426000,0.001375
49,1.401000,0.001377
50,1.393000,0.001365
51,1.402000,0.001357
52,1.402000,0.001283
53,1.390000,0.001282
54,1.400000,0.001281
55,1.442000,0.001227
56,1.397000,0.001222
57,1.405000,0.001216
58,1.407000,0.001211
59,1.462000,0.001205
60,1.395000,0.001199
61,1.395000,0.001193
62,1.391000,0.001188
63,1.394000,0.001182
64,1.397000,0.001176
65,1.404000,0.001170
66,1.382000,0.001164
67,1.403000,0.001158
68,1.439000,0.001152
69,1.433000,0.001147
70,1.395000,0.001141
71,1.405000,0.001135
72,1.405000,0.001129
73,1.396000,0.001124
74,1.402000,0.001118
75,1.395000,0.001112
76,1.405000,0.001107
77,1.398000,0.001104
78,1.388000,0.001104
79,1.399000,0.001104
80,1.468000,0.001085
81,1.397000,0.001080
82,1.396000,0.001074
83,1.415000,0.001069
84,1.408000,0.001064
85,1.402000,0.001058
86,1.397000,0.001053
87,1.400000,0.001047
88,1.400000,0.001042
89,1.438000,0.001038
90,1.398000,0.001032
91,1.459000,0.001027
92,1.410000,0.001023
93,1.409000,0.001022
94,1.414000,0.001025
95,1.402000,0.001027
96,1.405000,0.001016
97,1.416000,0.001019
98,1.415000,0.001022
99,1.404000,0.001025
