Integration Number,Time (s),Max Area Error
0,0.071000,0.977033
1,0.212000,0.709055
2,0.119000,0.160302
3,0.081000,0.033005
4,0.073000,0.023395
5,0.073000,0.023395
6,0.071000,0.016806
7,0.072000,0.013801
8,0.071000,0.011764
9,0.075000,0.002014
10,0.070000,0.002014
11,0.073000,0.002014
12,0.272000,0.002014
13,1.073000,0.002014
14,4.179000,0.002014
15,4.239000,0.002014
16,4.177000,0.002014
17,4.184000,0.002014
18,4.169000,0.002014
19,4.245000,0.002014
20,4.175000,0.001962
21,4.181000,0.001918
22,4.245000,0.001882
23,4.206000,0.001851
24,4.197000,0.001823
25,4.200000,0.001799
26,4.218000,0.001777
27,4.176000,0.001763
28,4.203000,0.000491
29,4.212000,0.000491
30,4.244000,0.000491
31,4.190000,0.000491
32,4.185000,0.000491
33,4.255000,0.000491
34,4.194000,0.000491
35,4.183000,0.000491
36,4.242000,0.000491
37,4.265000,0.000491
38,4.192000,0.000491
39,4.168000,0.000491
40,4.296000,0.000491
41,4.148000,0.000491
42,4.178000,0.000491
43,4.193000,0.000491
44,4.232000,0.000491
45,4.172000,0.000491
46,4.171000,0.000491
47,4.228000,0.000491
48,4.187000,0.000491
49,4.182000,0.000491
50,4.197000,0.000491
51,4.230000,0.000491
52,4.167000,0.000491
53,4.184000,0.000491
54,4.174000,0.000491
55,4.247000,0.000491
56,4.162000,0.000491
57,4.165000,0.000491
58,4.234000,0.000491
59,4.207000,0.000491
60,4.182000,0.000491
61,4.194000,0.000491
62,4.246000,0.000491
63,4.200000,0.000491
64,4.250000,0.000491
65,4.290000,0.000491
66,4.185000,0.000491
67,4.140000,0.000491
68,4.133000,0.000491
69,4.218000,0.000491
70,4.151000,0.000491
71,4.169000,0.000491
72,4.231000,0.000491
73,4.192000,0.000491
74,4.181000,0.000491
75,4.184000,0.000491
76,4.230000,0.000491
77,4.175000,0.000491
78,4.194000,0.000491
79,4.202000,0.000491
80,4.246000,0.000491
81,4.163000,0.000491
82,4.149000,0.000491
83,4.211000,0.000491
84,4.156000,0.000491
85,4.120000,0.000491
86,4.124000,0.000491
87,4.187000,0.000491
88,4.139000,0.000491
89,4.123000,0.000491
90,4.247000,0.000491
91,4.185000,0.000491
92,4.135000,0.000491
93,4.188000,0.000491
94,4.208000,0.000491
95,4.185000,0.000491
96,4.170000,0.000491
97,4.174000,0.000491
98,4.288000,0.000491
99,4.167000,0.000491
