Integration Number,Time (s),Max Area Error
0,0.126000,50.389647
1,0.339000,48.843878
2,0.243000,16.328029
3,0.278000,11.152632
4,0.289000,6.131872
5,0.228000,2.652512
6,0.232000,1.545657
7,0.196000,0.758101
8,0.177000,0.314346
9,0.157000,0.127958
10,0.143000,0.048362
11,0.143000,0.017555
12,0.131000,0.006634
13,0.127000,0.006302
14,0.133000,0.005938
15,0.131000,0.004393
16,0.133000,0.004340
17,0.130000,0.004210
18,0.140000,0.002727
19,0.124000,0.002733
20,0.135000,0.002411
21,0.123000,0.002338
22,0.132000,0.002281
23,0.130000,0.002235
24,0.126000,0.002192
25,0.120000,0.002154
26,0.129000,0.001731
27,0.130000,0.001731
28,0.139000,0.001654
29,0.127000,0.001646
30,0.128000,0.001648
31,0.131000,0.001644
32,0.131000,0.001644
33,0.129000,0.001648
34,0.266000,0.001648
35,0.904000,0.001647
36,2.905000,0.001643
37,3.062000,0.001632
38,3.032000,0.001612
39,3.064000,0.001592
40,3.141000,0.001572
41,3.062000,0.001552
42,3.067000,0.001532
43,3.051000,0.001513
44,3.121000,0.001494
45,3.155000,0.001475
46,3.065000,0.001200
47,3.024000,0.001196
48,3.040000,0.001192
49,2.982000,0.001188
50,3.159000,0.001184
51,3.128000,0.001180
52,3.069000,0.001176
53,3.322000,0.001172
54,3.249000,0.001169
55,3.349000,0.001165
56,3.251000,0.001162
57,3.318000,0.001156
58,3.236000,0.001154
59,3.253000,0.001150
60,3.194000,0.001147
61,3.011000,0.001144
62,3.142000,0.001141
63,3.148000,0.001138
64,3.060000,0.001136
65,3.154000,0.001019
66,2.942000,0.001017
67,3.155000,0.001016
68,3.084000,0.001015
69,3.197000,0.001002
70,3.042000,0.001001
71,2.951000,0.001000
72,3.077000,0.000988
73,3.173000,0.000987
74,3.139000,0.000986
75,3.091000,0.000982
76,3.044000,0.000970
77,3.124000,0.000966
78,3.064000,0.000962
79,3.044000,0.000958
80,3.088000,0.000954
81,3.101000,0.000950
82,3.217000,0.000946
83,3.133000,0.000942
84,3.044000,0.000939
85,3.201000,0.000935
86,3.038000,0.000931
87,3.038000,0.000927
88,3.072000,0.000924
89,3.042000,0.000920
90,2.954000,0.000916
91,2.969000,0.000912
92,3.072000,0.000909
93,3.236000,0.000905
94,3.139000,0.000901
95,3.211000,0.000898
96,3.085000,0.000894
97,3.065000,0.000891
98,3.080000,0.000887
99,3.058000,0.000883
