Integration Number,Time (s),Max Area Error
0,0.204000,46.595295
1,0.678000,11.145566
2,0.355000,1.183640
3,0.293000,0.739036
4,0.264000,0.475728
5,0.251000,0.194624
6,0.246000,0.016820
7,0.248000,0.014009
8,0.249000,0.012043
9,0.248000,0.011677
10,0.247000,0.005797
11,0.238000,0.005797
12,0.243000,0.003937
13,0.241000,0.003937
14,0.245000,0.002635
15,0.246000,0.002635
16,0.251000,0.002635
17,0.921000,0.002530
18,0.906000,0.002391
19,0.909000,0.002402
20,0.975000,0.002264
21,0.922000,0.002136
22,0.937000,0.001983
23,0.951000,0.001885
24,0.943000,0.001894
25,0.969000,0.001324
26,0.907000,0.001324
27,0.964000,0.001324
28,3.811000,0.001324
29,17.002000,0.001080
30,16.347000,0.001080
31,16.903000,0.001080
32,16.505000,0.001080
33,16.961000,0.000688
34,16.874000,0.000688
35,16.998000,0.000688
36,16.776000,0.000688
37,15.768000,0.000688
38,15.599000,0.000688
39,14.968000,0.000688
40,14.891000,0.000688
41,14.996000,0.000688
42,15.206000,0.000688
43,15.025000,0.000688
44,15.227000,0.000688
45,15.303000,0.000688
46,15.269000,0.000688
47,16.109000,0.000688
48,15.374000,0.000688
49,15.204000,0.000688
50,14.807000,0.000688
51,14.929000,0.000688
52,14.904000,0.000688
53,15.154000,0.000688
54,15.169000,0.000688
55,15.081000,0.000688
56,15.538000,0.000680
57,15.422000,0.000646
58,15.777000,0.000646
59,16.092000,0.000646
60,15.086000,0.000638
61,15.685000,0.000638
62,14.774000,0.000638
63,15.309000,0.000638
64,15.293000,0.000642
65,15.425000,0.000642
66,14.960000,0.000642
67,15.189000,0.000642
68,15.254000,0.000645
69,15.311000,0.000645
70,15.298000,0.000645
71,14.904000,0.000645
72,15.376000,0.000645
73,15.344000,0.000648
74,15.409000,0.000648
75,15.437000,0.000648
76,15.876000,0.000648
77,15.332000,0.000648
78,15.792000,0.000650
79,15.171000,0.000650
80,15.235000,0.000650
81,15.306000,0.000650
82,15.413000,0.000650
83,15.648000,0.000650
84,15.551000,0.000652
85,15.138000,0.000652
86,15.691000,0.000652
87,15.331000,0.000652
88,15.665000,0.000652
89,15.544000,0.000652
90,15.472000,0.000652
91,15.212000,0.000654
92,15.574000,0.000654
93,15.459000,0.000654
94,15.339000,0.000654
95,15.384000,0.000654
96,15.514000,0.000654
97,14.850000,0.000654
98,14.658000,0.000654
99,15.329000,0.000654
