Integration Number,Time (s),Max Area Error
0,0.071000,17.509811
1,0.177000,2.215506
2,0.127000,0.635921
3,0.102000,0.237802
4,0.093000,0.084622
5,0.096000,0.018189
6,0.089000,0.018335
7,0.092000,0.010952
8,0.090000,0.011502
9,0.093000,0.006388
10,0.113000,0.006388
11,0.093000,0.006307
12,0.094000,0.004543
13,0.089000,0.004561
14,0.091000,0.004621
15,0.475000,0.003411
16,0.321000,0.003121
17,0.318000,0.002601
18,0.321000,0.002145
19,0.322000,0.002137
20,0.321000,0.001906
21,0.336000,0.001925
22,0.322000,0.001771
23,0.318000,0.001775
24,0.329000,0.001742
25,0.429000,0.001492
26,0.387000,0.001503
27,0.430000,0.001464
28,0.366000,0.001439
29,0.338000,0.001418
30,0.328000,0.001402
31,0.320000,0.001389
32,0.447000,0.001377
33,0.346000,0.001368
34,0.340000,0.001360
35,0.320000,0.001353
36,0.322000,0.001347
37,0.320000,0.001342
38,0.324000,0.000652
39,0.323000,0.000652
40,0.328000,0.000652
41,1.349000,0.000652
42,4.907000,0.000652
43,5.132000,0.000652
44,5.049000,0.000652
45,4.905000,0.000652
46,4.881000,0.000652
47,4.930000,0.000652
48,4.848000,0.000652
49,4.853000,0.000652
50,5.259000,0.000652
51,4.963000,0.000652
52,4.980000,0.000652
53,4.956000,0.000652
54,5.120000,0.000652
55,5.021000,0.000652
56,4.955000,0.000652
57,4.945000,0.000652
58,4.948000,0.000652
59,5.044000,0.000652
60,4.918000,0.000652
61,4.923000,0.000652
62,4.903000,0.000652
63,4.940000,0.000652
64,4.935000,0.000652
65,5.052000,0.000652
66,6.588000,0.000652
67,5.127000,0.000652
68,5.671000,0.000652
69,4.991000,0.000652
70,5.027000,0.000652
71,4.954000,0.000652
72,4.792000,0.000652
73,4.774000,0.000652
74,4.960000,0.000652
75,4.806000,0.000652
76,4.762000,0.000652
77,4.888000,0.000652
78,4.819000,0.000653
79,4.847000,0.000654
80,4.859000,0.000654
81,4.896000,0.000654
82,4.772000,0.000655
83,4.886000,0.000655
84,4.865000,0.000655
85,4.849000,0.000655
86,4.912000,0.000655
87,5.016000,0.000655
88,4.987000,0.000655
89,4.973000,0.000655
90,5.018000,0.000667
91,4.832000,0.000669
92,4.918000,0.000670
93,4.906000,0.000671
94,4.787000,0.000672
95,4.807000,0.000672
96,4.889000,0.000673
97,4.862000,0.000673
98,4.929000,0.000673
99,4.842000,0.000673
