Integration Number,Time (s),Max Area Error
0,0.026000,9.108930
1,0.084000,1.286327
2,0.065000,0.161740
3,0.032000,0.064261
4,0.032000,0.020903
5,0.030000,0.020903
6,0.033000,0.018116
7,0.030000,0.010101
8,0.028000,0.010101
9,0.030000,0.009981
10,0.031000,0.007210
11,0.030000,0.006797
12,0.029000,0.006459
13,0.031000,0.004436
14,0.030000,0.003761
15,0.029000,0.003622
16,0.031000,0.002060
17,0.029000,0.002060
18,0.031000,0.002060
19,0.113000,0.002060
20,0.416000,0.001298
21,0.408000,0.001298
22,0.432000,0.001298
23,1.658000,0.001298
24,1.654000,0.001298
25,1.649000,0.001298
26,1.742000,0.001298
27,1.707000,0.001298
28,1.646000,0.001298
29,1.655000,0.001298
30,1.650000,0.001298
31,1.648000,0.001298
32,1.654000,0.001298
33,1.650000,0.001298
34,1.652000,0.001296
35,1.699000,0.001293
36,1.669000,0.001293
37,1.659000,0.001178
38,1.645000,0.001178
39,1.657000,0.001178
40,1.657000,0.001178
41,1.665000,0.001162
42,1.664000,0.001149
43,1.661000,0.001139
44,1.746000,0.001130
45,1.714000,0.001123
46,1.658000,0.001116
47,1.665000,0.001111
48,1.664000,0.001105
49,1.659000,0.001101
50,1.680000,0.001096
51,1.659000,0.001092
52,1.659000,0.001089
53,1.715000,0.001085
54,1.662000,0.001082
55,1.669000,0.001079
56,1.679000,0.001076
57,1.658000,0.001073
58,1.666000,0.001070
59,1.671000,0.001067
60,1.667000,0.001064
61,1.657000,0.001062
62,1.750000,0.001059
63,1.710000,0.001057
64,1.665000,0.001055
65,1.662000,0.001053
66,1.666000,0.001051
67,1.675000,0.001049
68,1.666000,0.001047
69,1.667000,0.001045
70,1.675000,0.001044
71,1.719000,0.001042
72,1.658000,0.001040
73,1.666000,0.001038
74,1.663000,0.001037
75,1.672000,0.001035
76,1.663000,0.001033
77,1.671000,0.001032
78,1.666000,0.001030
79,1.663000,0.001029
80,1.750000,0.001027
81,1.713000,0.001025
82,1.675000,0.001024
83,1.662000,0.001022
84,1.665000,0.001021
85,1.666000,0.001019
86,1.658000,0.001018
87,1.668000,0.001016
88,1.673000,0.001015
89,1.707000,0.001013
90,1.717000,0.000582
91,1.658000,0.000582
92,1.685000,0.000582
93,1.671000,0.000582
94,1.661000,0.000582
95,1.662000,0.000582
96,1.669000,0.000582
97,1.663000,0.000582
98,1.743000,0.000582
99,1.709000,0.000582
