Integration Number,Time (s),Max Area Error
0,0.026000,7.602093
1,0.066000,1.444420
2,0.056000,0.121068
3,0.031000,0.049841
4,0.028000,0.049423
5,0.037000,0.011335
6,0.028000,0.011335
7,0.030000,0.011344
8,0.110000,0.009264
9,0.104000,0.008963
10,0.104000,0.008689
11,0.108000,0.005430
12,0.107000,0.002750
13,0.104000,0.002750
14,0.109000,0.002750
15,0.417000,0.002750
16,1.631000,0.002717
17,1.612000,0.002686
18,1.617000,0.002659
19,1.620000,0.002502
20,1.609000,0.002370
21,1.619000,0.002257
22,1.660000,0.002161
23,1.613000,0.002089
24,1.609000,0.001818
25,1.608000,0.001773
26,1.613000,0.001731
27,1.606000,0.001691
28,1.604000,0.001652
29,1.608000,0.001614
30,1.607000,0.001578
31,1.688000,0.001543
32,1.660000,0.001510
33,1.621000,0.001477
34,1.623000,0.001445
35,1.607000,0.001415
36,1.624000,0.001327
37,1.617000,0.001300
38,1.613000,0.001273
39,1.620000,0.001246
40,1.627000,0.001219
41,1.650000,0.001194
42,1.612000,0.001168
43,1.623000,0.001144
44,1.608000,0.001120
45,1.606000,0.001097
46,1.619000,0.001074
47,1.612000,0.001052
48,1.610000,0.001031
49,1.619000,0.001011
50,1.709000,0.000991
51,1.647000,0.000972
52,1.618000,0.000953
53,1.609000,0.000902
54,1.617000,0.000902
55,1.596000,0.000902
56,1.603000,0.000897
57,1.617000,0.000893
58,1.619000,0.000889
59,1.652000,0.000886
60,1.619000,0.000883
61,1.611000,0.000881
62,1.606000,0.000866
63,1.605000,0.000862
64,1.604000,0.000847
65,1.602000,0.000832
66,1.601000,0.000826
67,1.585000,0.000821
68,1.703000,0.000817
69,1.645000,0.000804
70,1.612000,0.000799
71,1.604000,0.000786
72,1.602000,0.000781
73,1.593000,0.000777
74,1.593000,0.000773
75,1.609000,0.000762
76,1.616000,0.000750
77,1.595000,0.000745
78,1.647000,0.000740
79,1.609000,0.000736
80,1.602000,0.000736
81,1.593000,0.000726
82,1.585000,0.000726
83,1.598000,0.000715
84,1.588000,0.000715
85,1.610000,0.000704
86,1.592000,0.000704
87,1.673000,0.000704
88,1.650000,0.000692
89,1.587000,0.000692
90,1.590000,0.000692
91,1.595000,0.000692
92,1.601000,0.000681
93,1.586000,0.000681
94,1.587000,0.000681
95,1.588000,0.000681
96,1.617000,0.000669
97,1.623000,0.000669
98,1.586000,0.000669
99,1.579000,0.000669
