Integration Number,Time (s),Max Area Error
0,0.959000,0.922317
1,1.081000,0.293033
2,1.160000,0.042233
3,1.202000,0.042233
4,1.176000,0.020309
5,1.187000,0.020309
6,1.212000,0.005838
7,1.290000,0.005838
8,1.169000,0.005838
9,4.293000,0.005838
10,16.254000,0.005838
11,71.137000,0.004155
12,74.029000,0.004155
13,73.836000,0.004155
14,72.972000,0.003987
15,72.697000,0.001511
16,74.351000,0.001511
17,72.741000,0.001511
18,72.346000,0.001511
19,70.847000,0.001511
20,73.445000,0.001511
21,72.328000,0.001511
22,72.239000,0.001511
23,70.711000,0.001511
24,73.252000,0.001511
25,73.603000,0.001511
26,72.644000,0.001511
27,73.543000,0.001511
28,73.384000,0.001511
29,70.383000,0.001511
30,72.862000,0.001511
31,72.046000,0.001511
32,71.414000,0.001511
33,71.470000,0.000223
34,73.120000,0.000223
35,71.357000,0.000223
36,74.733000,0.000223
37,71.652000,0.000223
38,72.538000,0.000223
39,72.708000,0.000223
40,71.545000,0.000223
41,72.661000,0.000223
42,72.009000,0.000223
43,72.182000,0.000223
44,70.982000,0.000223
45,72.915000,0.000223
46,72.144000,0.000223
47,72.429000,0.000223
48,73.331000,0.000223
49,73.334000,0.000223
50,70.759000,0.000223
51,72.745000,0.000223
52,71.419000,0.000223
53,71.745000,0.000223
54,73.115000,0.000223
55,73.549000,0.000223
56,73.330000,0.000223
57,72.391000,0.000223
58,72.303000,0.000223
59,71.911000,0.000223
60,71.980000,0.000223
61,71.374000,0.000223
62,71.857000,0.000223
63,71.972000,0.000223
64,73.808000,0.000223
65,73.093000,0.000223
66,72.782000,0.000223
67,72.577000,0.000223
68,72.406000,0.000223
69,72.747000,0.000223
70,73.804000,0.000223
71,71.732000,0.000223
72,72.849000,0.000223
73,72.333000,0.000223
74,72.261000,0.000223
75,72.987000,0.000223
76,71.810000,0.000223
77,74.276000,0.000223
78,71.764000,0.000223
79,70.986000,0.000223
80,72.970000,0.000223
81,71.705000,0.000223
82,72.399000,0.000223
83,70.785000,0.000223
84,71.245000,0.000223
85,72.512000,0.000223
86,72.943000,0.000223
87,71.234000,0.000223
88,72.593000,0.000223
89,73.685000,0.000223
90,74.204000,0.000223
91,70.752000,0.000223
92,73.119000,0.000223
93,71.523000,0.000223
94,72.580000,0.000223
95,70.586000,0.000223
96,73.084000,0.000223
97,71.502000,0.000223
98,73.451000,0.000223
99,69.537000,0.000223
