Integration Number,Time (s),Max Area Error
0,0.016000,0.956289
1,0.055000,0.515517
2,0.037000,0.206024
3,0.029000,0.062670
4,0.022000,0.009201
5,0.019000,0.009201
6,0.021000,0.009201
7,0.082000,0.009201
8,0.328000,0.009201
9,1.286000,0.009201
10,1.278000,0.001942
11,1.285000,0.001942
12,1.261000,0.001942
13,1.271000,0.001942
14,1.250000,0.001942
15,1.253000,0.001942
16,1.297000,0.001942
17,1.271000,0.001942
18,1.263000,0.001942
19,1.270000,0.001942
20,1.264000,0.001942
21,1.274000,0.001942
22,1.330000,0.001942
23,1.265000,0.001942
24,1.269000,0.001942
25,1.272000,0.001942
26,1.263000,0.001942
27,1.327000,0.001942
28,1.295000,0.001942
29,1.296000,0.000397
30,1.259000,0.000397
31,1.249000,0.000397
32,1.258000,0.000397
33,1.272000,0.000397
34,1.281000,0.000397
35,1.270000,0.000397
36,1.275000,0.000397
37,1.261000,0.000397
38,1.266000,0.000397
39,1.333000,0.000397
40,1.264000,0.000397
41,1.276000,0.000397
42,1.298000,0.000397
43,1.270000,0.000397
44,1.267000,0.000397
45,1.269000,0.000397
46,1.258000,0.000397
47,1.265000,0.000397
48,1.280000,0.000397
49,1.267000,0.000397
50,1.311000,0.000397
51,1.366000,0.000397
52,1.266000,0.000397
53,1.262000,0.000397
54,1.271000,0.000397
55,1.271000,0.000397
56,1.276000,0.000397
57,1.265000,0.000397
58,1.271000,0.000397
59,1.323000,0.000397
60,1.269000,0.000397
61,1.272000,0.000397
62,1.258000,0.000397
63,1.317000,0.000397
64,1.265000,0.000397
65,1.257000,0.000397
66,1.258000,0.000397
67,1.252000,0.000397
68,1.268000,0.000397
69,1.257000,0.000397
70,1.259000,0.000397
71,1.262000,0.000397
72,1.363000,0.000397
73,1.265000,0.000397
74,1.340000,0.000397
75,1.288000,0.000397
76,1.263000,0.000397
77,1.264000,0.000397
78,1.311000,0.000397
79,1.273000,0.000397
80,1.263000,0.000397
81,1.270000,0.000397
82,1.286000,0.000397
83,1.283000,0.000397
84,1.256000,0.000397
85,1.265000,0.000397
86,1.398000,0.000397
87,1.368000,0.000397
88,1.482000,0.000397
89,1.295000,0.000397
90,1.306000,0.000397
91,1.267000,0.000397
92,1.266000,0.000397
93,1.273000,0.000397
94,1.303000,0.000397
95,1.283000,0.000397
96,1.287000,0.000397
97,1.299000,0.000397
98,1.298000,0.000397
99,1.284000,0.000397
