Integration Number,Time (s),Max Area Error
0,0.034000,41.285464
1,0.380000,47.124286
2,0.270000,18.050312
3,0.422000,18.135720
4,0.497000,14.343913
5,0.536000,9.064882
6,0.485000,8.771946
7,0.367000,8.318266
8,0.389000,6.451050
9,0.398000,5.356457
10,0.323000,2.090477
11,1.446000,2.064254
12,0.162000,1.987126
13,0.188000,2.005111
14,0.199000,2.341718
15,3.359000,2.106396
16,0.725000,2.100478
17,0.826000,1.954725
18,2.827000,2.119041
19,13.185000,2.056872
20,3.453000,2.085667
21,10.311000,2.092507
22,1.755000,2.141425
23,3.392000,2.189967
24,28.054000,2.220875
25,35.206000,2.243696
26,31.784000,2.250970
27,4.431000,2.253541
28,41.664000,2.260865
29,6.008000,2.265051
30,26.577000,2.253906
31,73.488000,2.263745
32,1.805000,2.264967
33,3.553000,2.267876
34,30.391000,2.273351
35,6.341000,2.267440
36,33.964000,2.272766
37,5.322000,2.269509
38,30.120000,2.246873
39,65.950000,2.255968
40,2.327000,2.247158
41,8.774000,2.252309
42,29.794000,2.228080
43,68.560000,2.252958
44,63.427000,2.279930
45,121.049000,2.285437
46,81.613000,2.266806
47,40.825000,2.260122
48,50.422000,2.248350
49,59.103000,2.244699
50,2.083000,2.237875
51,3.127000,2.255087
52,19.745000,2.258098
53,3.208000,2.271870
54,14.159000,2.297449
55,43.129000,2.278927
56,70.050000,2.271454
57,3.819000,2.264356
58,17.660000,2.276262
59,49.338000,2.297467
60,2.507000,2.267887
61,10.696000,2.267476
62,2.098000,2.271930
63,2.834000,2.281828
64,20.018000,2.281949
65,3.967000,2.286022
66,22.767000,2.307909
67,4.026000,2.311269
68,22.553000,2.307109
69,3.860000,2.318057
70,22.949000,2.312927
71,10.419000,2.360581
72,2.626000,2.333165
73,7.598000,2.341518
74,18.510000,2.347361
75,36.886000,2.280599
76,59.363000,2.278455
77,4.061000,2.264652
78,23.625000,2.640461
79,6.234000,2.244588
80,17.242000,2.206911
81,45.771000,2.062723
82,77.722000,2.073852
83,5.762000,2.051846
84,18.661000,1.981210
85,31.641000,1.756169
86,70.429000,1.769989
87,3.451000,1.676038
88,16.787000,1.860397
89,3.382000,2.920126
90,30.236000,1.268160
91,3.368000,1.334265
92,3.475000,1.638536
93,4.450000,1.654203
94,14.449000,1.527282
95,37.981000,1.639493
96,11.059000,2.866885
97,46.215000,1.187931
98,6.289000,1.183398
99,16.209000,2.682487
