Integration Number,Time (s),Max Area Error
0,0.073000,17.509811
1,0.176000,2.215506
2,0.130000,0.635921
3,0.106000,0.237802
4,0.094000,0.084622
5,0.098000,0.018189
6,0.089000,0.018335
7,0.091000,0.010952
8,0.090000,0.011502
9,0.096000,0.006388
10,0.089000,0.006388
11,0.090000,0.006307
12,0.093000,0.004543
13,0.089000,0.004561
14,0.094000,0.004621
15,0.328000,0.003411
16,0.318000,0.003121
17,0.315000,0.002601
18,0.320000,0.002145
19,0.324000,0.002137
20,0.323000,0.001906
21,0.327000,0.001925
22,0.319000,0.001771
23,0.316000,0.001775
24,0.320000,0.001742
25,0.316000,0.001492
26,0.320000,0.001503
27,0.318000,0.001464
28,0.316000,0.001439
29,0.326000,0.001418
30,0.314000,0.001402
31,0.314000,0.001389
32,0.317000,0.001377
33,0.327000,0.001368
34,0.314000,0.001360
35,0.315000,0.001353
36,0.318000,0.001347
37,0.329000,0.001342
38,0.323000,0.000652
39,0.323000,0.000652
40,0.320000,0.000652
41,1.320000,0.000652
42,4.924000,0.000652
43,4.968000,0.000652
44,4.922000,0.000652
45,5.068000,0.000652
46,4.878000,0.000652
47,5.121000,0.000652
48,4.914000,0.000652
49,4.835000,0.000652
50,4.792000,0.000652
51,5.073000,0.000652
52,4.785000,0.000652
53,4.832000,0.000652
54,4.938000,0.000652
55,4.778000,0.000652
56,5.132000,0.000652
57,5.000000,0.000652
58,4.846000,0.000652
59,4.931000,0.000652
60,5.024000,0.000652
61,5.004000,0.000652
62,5.018000,0.000652
63,4.957000,0.000652
64,5.000000,0.000652
65,5.168000,0.000652
66,4.952000,0.000652
67,4.940000,0.000652
68,5.006000,0.000652
69,5.019000,0.000652
70,4.871000,0.000652
71,4.791000,0.000652
72,4.882000,0.000652
73,4.982000,0.000652
74,4.842000,0.000652
75,4.920000,0.000652
76,4.911000,0.000652
77,5.109000,0.000652
78,4.854000,0.000653
79,5.093000,0.000654
80,4.834000,0.000654
81,4.903000,0.000654
82,4.981000,0.000655
83,4.985000,0.000655
84,4.917000,0.000655
85,4.991000,0.000655
86,4.778000,0.000655
87,5.022000,0.000655
88,4.883000,0.000655
89,4.835000,0.000655
90,4.901000,0.000667
91,4.939000,0.000669
92,5.106000,0.000670
93,4.999000,0.000671
94,4.858000,0.000672
95,4.906000,0.000672
96,5.155000,0.000673
97,5.041000,0.000673
98,5.074000,0.000673
99,4.978000,0.000673
