Integration Number,Time (s),Max Area Error
0,0.067000,72.300556
1,0.125000,32.603859
2,0.198000,3.067884
3,0.102000,0.678998
4,0.073000,0.187613
5,0.064000,0.044686
6,0.059000,0.018696
7,0.055000,0.014579
8,0.058000,0.010803
9,0.056000,0.008802
10,0.055000,0.006298
11,0.055000,0.006419
12,0.056000,0.004477
13,0.054000,0.004228
14,0.052000,0.004244
15,0.056000,0.004264
16,0.176000,0.003309
17,0.175000,0.003211
18,0.171000,0.003205
19,0.169000,0.003171
20,0.172000,0.003142
21,0.178000,0.003069
22,0.175000,0.002958
23,0.179000,0.002038
24,0.178000,0.001954
25,0.172000,0.001870
26,0.178000,0.001791
27,0.175000,0.001716
28,0.178000,0.001643
29,0.175000,0.001574
30,0.172000,0.001508
31,0.168000,0.001444
32,0.173000,0.001383
33,0.175000,0.001324
34,0.172000,0.001268
35,0.175000,0.001214
36,0.173000,0.001200
37,0.175000,0.001186
38,0.172000,0.001179
39,0.172000,0.001165
40,0.173000,0.000974
41,0.174000,0.000962
42,0.172000,0.000912
43,0.172000,0.000912
44,0.176000,0.000911
45,0.629000,0.000893
46,0.632000,0.000893
47,0.635000,0.000862
48,0.725000,0.000862
49,0.651000,0.000832
50,0.620000,0.000832
51,0.631000,0.000831
52,0.692000,0.000811
53,0.609000,0.000809
54,0.651000,0.000807
55,0.610000,0.000805
56,0.702000,0.000803
57,0.668000,0.000801
58,0.665000,0.000800
59,0.644000,0.000798
60,0.658000,0.000795
61,0.674000,0.000794
62,0.626000,0.000792
63,0.721000,0.000790
64,0.620000,0.000788
65,0.620000,0.000786
66,0.668000,0.000785
67,0.629000,0.000784
68,0.622000,0.000782
69,0.660000,0.000782
70,0.609000,0.000780
71,0.714000,0.000778
72,0.679000,0.000776
73,0.641000,0.000775
74,0.641000,0.000773
75,0.660000,0.000772
76,0.670000,0.000773
77,2.730000,0.000771
78,2.493000,0.000769
79,2.548000,0.000768
80,2.713000,0.000767
81,2.897000,0.000766
82,2.778000,0.000765
83,2.627000,0.000764
84,2.593000,0.000764
85,2.649000,0.000765
86,2.906000,0.000763
87,2.590000,0.000761
88,2.639000,0.000759
89,2.643000,0.000758
90,2.598000,0.000757
91,2.439000,0.000756
92,2.688000,0.000757
93,2.654000,0.000755
94,2.573000,0.000753
95,2.546000,0.000751
96,2.574000,0.000750
97,3.020000,0.000749
98,2.893000,0.000748
99,2.804000,0.000747
