Integration Number,Time (s),Max Area Error
0,0.251000,159.189798
1,1.668000,79.785294
2,0.423000,30.527569
3,0.515000,13.493656
4,0.729000,8.537344
5,0.831000,4.709144
6,0.766000,2.384197
7,0.729000,1.136635
8,0.652000,0.987650
9,0.475000,0.985914
10,0.406000,0.979187
11,0.360000,0.969496
12,0.387000,0.940656
13,0.294000,0.883643
14,0.288000,0.739664
15,0.290000,0.621032
16,0.287000,0.373692
17,0.289000,0.305780
18,0.279000,0.155302
19,0.278000,0.142691
20,0.283000,0.095244
21,0.276000,0.075349
22,0.276000,0.038509
23,0.275000,0.033408
24,0.278000,0.018321
25,0.283000,0.015812
26,0.275000,0.009137
27,0.281000,0.007794
28,0.274000,0.004946
29,0.281000,0.004949
30,0.277000,0.004936
31,0.281000,0.004906
32,0.283000,0.003991
33,0.280000,0.003967
34,0.278000,0.003930
35,0.278000,0.003890
36,0.280000,0.003043
37,0.280000,0.003028
38,0.275000,0.002999
39,0.272000,0.002970
40,0.275000,0.002941
41,0.280000,0.002911
42,0.273000,0.002878
43,0.272000,0.002844
44,0.278000,0.002814
45,0.273000,0.002766
46,0.279000,0.002723
47,0.280000,0.001987
48,0.277000,0.002014
49,0.276000,0.001996
50,0.279000,0.001981
51,0.276000,0.001959
52,0.272000,0.001938
53,0.280000,0.001916
54,0.273000,0.001893
55,0.274000,0.001878
56,0.272000,0.001857
57,0.273000,0.001834
58,0.286000,0.001811
59,0.283000,0.001790
60,0.281000,0.001769
61,0.279000,0.001755
62,0.273000,0.001733
63,0.277000,0.001729
64,0.290000,0.001706
65,0.345000,0.001682
66,0.285000,0.001660
67,0.278000,0.001638
68,0.275000,0.001634
69,0.278000,0.001603
70,0.272000,0.001591
71,0.277000,0.001568
72,0.275000,0.001563
73,0.282000,0.001540
74,0.278000,0.001518
75,0.273000,0.001514
76,0.278000,0.001511
77,0.276000,0.001489
78,0.274000,0.001485
79,0.277000,0.001464
80,0.274000,0.001440
81,0.277000,0.001416
82,0.273000,0.001395
83,0.277000,0.001373
84,0.270000,0.001351
85,0.272000,0.001338
86,0.276000,0.001344
87,0.281000,0.001350
88,1.016000,0.001274
89,1.018000,0.001085
90,1.026000,0.001086
91,1.021000,0.001087
92,4.197000,0.001091
93,4.126000,0.001092
94,3.936000,0.001094
95,4.028000,0.001096
96,4.011000,0.001008
97,3.928000,0.001013
98,4.041000,0.000979
99,3.976000,0.000977
