Integration Number,Time (s),Max Area Error
0,0.113000,80.528861
1,1.039000,27.080883
2,0.561000,4.610131
3,0.251000,1.908684
4,0.203000,0.983264
5,0.186000,0.404253
6,0.168000,0.193679
7,0.167000,0.048191
8,0.159000,0.011064
9,0.158000,0.008122
10,0.159000,0.007815
11,0.160000,0.005386
12,0.158000,0.004217
13,0.154000,0.004180
14,0.156000,0.003782
15,0.157000,0.003321
16,0.156000,0.002416
17,0.155000,0.002416
18,0.159000,0.002416
19,0.557000,0.002343
20,0.556000,0.002278
21,0.557000,0.002202
22,0.557000,0.001899
23,0.554000,0.001582
24,0.555000,0.001582
25,0.559000,0.001582
26,2.119000,0.001526
27,2.137000,0.001384
28,2.130000,0.001365
29,2.194000,0.001378
30,2.193000,0.001386
31,8.397000,0.001255
32,8.470000,0.001271
33,8.426000,0.001284
34,8.461000,0.001286
35,8.465000,0.001043
36,8.498000,0.001044
37,8.434000,0.001001
38,8.583000,0.000997
39,8.496000,0.000999
40,8.580000,0.001003
41,8.586000,0.000998
42,8.445000,0.000983
43,8.340000,0.000983
44,8.382000,0.000983
45,8.534000,0.000982
46,8.656000,0.000983
47,8.581000,0.000982
48,8.655000,0.000990
49,8.446000,0.000997
50,8.502000,0.000999
51,8.411000,0.000999
52,8.434000,0.000994
53,8.581000,0.000986
54,8.413000,0.000974
55,8.440000,0.000960
56,8.416000,0.000946
57,8.541000,0.000931
58,13.483000,0.000915
59,8.649000,0.000900
60,8.549000,0.000885
61,8.439000,0.000870
62,8.488000,0.000855
63,8.601000,0.000840
64,8.464000,0.000835
65,8.537000,0.000833
66,8.905000,0.000831
67,8.631000,0.000829
68,8.393000,0.000819
69,8.394000,0.000807
70,8.640000,0.000800
71,9.812000,0.000797
72,8.594000,0.000794
73,8.949000,0.000792
74,8.537000,0.000790
75,10.068000,0.000788
76,8.587000,0.000787
77,10.163000,0.000782
78,8.502000,0.000771
79,8.757000,0.000763
80,9.505000,0.000758
81,8.797000,0.000755
82,8.612000,0.000753
83,8.765000,0.000751
84,10.218000,0.000749
85,9.100000,0.000747
86,8.573000,0.000746
87,8.540000,0.000745
88,9.758000,0.000744
89,11.625000,0.000743
90,9.376000,0.000742
91,8.705000,0.000741
92,8.538000,0.000750
93,8.578000,0.000746
94,8.660000,0.000728
95,8.584000,0.000715
96,8.632000,0.000715
97,8.570000,0.000714
98,8.575000,0.000706
99,8.486000,0.000706
