Integration Number,Time (s),Max Area Error
0,0.073000,0.750200
1,0.074000,0.750200
2,0.095000,0.045982
3,0.066000,0.045982
4,0.071000,0.008226
5,0.069000,0.008226
6,0.070000,0.008226
7,0.272000,0.008226
8,1.091000,0.008226
9,4.208000,0.008226
10,4.247000,0.001563
11,4.233000,0.001563
12,4.174000,0.001563
13,4.178000,0.001563
14,4.195000,0.001563
15,4.178000,0.001563
16,4.176000,0.001563
17,4.183000,0.001563
18,4.243000,0.001563
19,4.180000,0.001563
20,4.213000,0.001563
21,4.213000,0.001563
22,4.189000,0.001563
23,4.337000,0.001563
24,4.197000,0.001563
25,4.277000,0.001563
26,4.177000,0.001563
27,4.244000,0.001563
28,4.284000,0.001563
29,4.225000,0.001563
30,4.300000,0.000124
31,4.206000,0.000124
32,4.275000,0.000124
33,4.220000,0.000124
34,4.241000,0.000124
35,4.278000,0.000124
36,4.314000,0.000124
37,4.420000,0.000124
38,4.202000,0.000124
39,4.258000,0.000124
40,4.339000,0.000124
41,4.194000,0.000124
42,4.261000,0.000124
43,4.257000,0.000124
44,4.275000,0.000124
45,4.181000,0.000124
46,4.354000,0.000124
47,4.223000,0.000124
48,4.161000,0.000124
49,4.172000,0.000124
50,4.322000,0.000124
51,4.255000,0.000124
52,4.195000,0.000124
53,4.328000,0.000124
54,4.195000,0.000124
55,4.141000,0.000124
56,4.200000,0.000124
57,4.435000,0.000124
58,4.186000,0.000124
59,4.178000,0.000124
60,4.212000,0.000124
61,4.184000,0.000124
62,4.175000,0.000124
63,4.176000,0.000124
64,4.290000,0.000124
65,4.166000,0.000124
66,4.198000,0.000124
67,4.166000,0.000124
68,4.220000,0.000124
69,4.189000,0.000124
70,4.193000,0.000124
71,4.260000,0.000124
72,4.175000,0.000124
73,4.177000,0.000124
74,4.181000,0.000124
75,4.197000,0.000124
76,4.176000,0.000124
77,4.180000,0.000124
78,4.238000,0.000124
79,4.214000,0.000124
80,4.175000,0.000124
81,4.214000,0.000124
82,4.198000,0.000124
83,4.172000,0.000124
84,4.165000,0.000124
85,4.178000,0.000124
86,4.262000,0.000124
87,4.205000,0.000124
88,4.193000,0.000124
89,4.248000,0.000124
90,4.228000,0.000124
91,4.202000,0.000124
92,4.198000,0.000124
93,4.244000,0.000124
94,4.310000,0.000124
95,4.212000,0.000124
96,4.316000,0.000124
97,4.208000,0.000124
98,4.176000,0.000124
99,4.192000,0.000124
