Integration Number,Time (s),Max Area Error
0,0.537000,835.442185
1,1.942000,651.492955
2,0.807000,321.413810
3,0.932000,188.136090
4,1.147000,117.950995
5,1.392000,64.974381
6,1.291000,40.889105
7,1.247000,21.057850
8,1.064000,8.212814
9,0.779000,2.191760
10,0.712000,0.798009
11,0.630000,0.770046
12,0.609000,0.691309
13,0.587000,0.620310
14,0.591000,0.507672
15,0.563000,0.433498
16,0.552000,0.319512
17,0.549000,0.262926
18,0.556000,0.191458
19,0.563000,0.151422
20,0.565000,0.113274
21,0.548000,0.086855
22,0.535000,0.065499
23,0.539000,0.052037
24,0.539000,0.046818
25,0.529000,0.042170
26,0.568000,0.038030
27,0.549000,0.034354
28,0.572000,0.031072
29,0.576000,0.028114
30,0.550000,0.025467
31,0.582000,0.023086
32,0.553000,0.020939
33,0.577000,0.019017
34,0.559000,0.017271
35,0.555000,0.015708
36,0.550000,0.014274
37,0.555000,0.013605
38,0.552000,0.011983
39,0.543000,0.010860
40,0.531000,0.009737
41,0.541000,0.008771
42,0.591000,0.007891
43,0.554000,0.007106
44,0.536000,0.006157
45,0.537000,0.006028
46,0.555000,0.005068
47,0.546000,0.005029
48,0.562000,0.004210
49,0.531000,0.003989
50,0.559000,0.003589
51,0.565000,0.003290
52,0.535000,0.003079
53,0.635000,0.003078
54,0.554000,0.003078
55,2.090000,0.002169
56,2.002000,0.001421
57,1.996000,0.001416
58,2.100000,0.001413
59,2.177000,0.001411
60,2.066000,0.001409
61,2.047000,0.001408
62,2.016000,0.001409
63,8.071000,0.001228
64,7.943000,0.001222
65,7.782000,0.001218
66,7.875000,0.001210
67,7.971000,0.001204
68,7.725000,0.001201
69,8.140000,0.001195
70,8.348000,0.001192
71,7.849000,0.001186
72,7.840000,0.001183
73,7.751000,0.001178
74,8.163000,0.001183
75,8.081000,0.001171
76,8.241000,0.001165
77,8.020000,0.001162
78,8.133000,0.001159
79,8.070000,0.001156
80,7.922000,0.001152
81,8.139000,0.001152
82,8.121000,0.001149
83,8.027000,0.001107
84,8.253000,0.001105
85,8.064000,0.001114
86,8.016000,0.001124
87,8.218000,0.001121
88,8.066000,0.001119
89,8.190000,0.001116
90,8.270000,0.001124
91,7.881000,0.001120
92,7.858000,0.001117
93,8.005000,0.001114
94,7.973000,0.001110
95,7.777000,0.001107
96,7.970000,0.001104
97,7.994000,0.001101
98,7.880000,0.001096
99,7.852000,0.001095
