Integration Number,Time (s),Max Area Error
0,0.091000,171.478116
1,0.957000,78.188929
2,0.231000,32.963724
3,0.274000,18.595716
4,0.323000,11.734832
5,0.363000,7.380152
6,0.298000,4.739722
7,0.245000,2.948605
8,0.188000,1.585663
9,0.156000,0.819789
10,0.131000,0.324126
11,0.139000,0.140798
12,0.125000,0.031946
13,0.093000,0.012624
14,0.086000,0.005302
15,0.080000,0.003663
16,0.078000,0.002834
17,0.077000,0.002812
18,0.078000,0.002775
19,0.080000,0.003051
20,0.295000,0.002368
21,0.291000,0.002175
22,0.289000,0.002139
23,0.290000,0.001710
24,0.293000,0.001735
25,0.289000,0.001717
26,0.290000,0.001684
27,0.292000,0.001615
28,0.291000,0.001602
29,0.296000,0.001663
30,1.148000,0.001683
31,4.476000,0.001722
32,4.491000,0.001728
33,4.499000,0.001715
34,4.468000,0.001329
35,4.456000,0.001299
36,4.514000,0.001270
37,4.499000,0.001243
38,4.525000,0.001222
39,4.490000,0.001195
40,4.473000,0.001172
41,4.436000,0.001151
42,4.442000,0.001131
43,4.498000,0.001112
44,4.443000,0.001093
45,4.464000,0.001075
46,4.629000,0.001057
47,4.514000,0.001038
48,4.474000,0.001018
49,4.458000,0.000998
50,4.551000,0.000979
51,4.605000,0.000969
52,4.610000,0.000946
53,4.573000,0.000927
54,4.501000,0.000911
55,4.520000,0.000896
56,4.524000,0.000881
57,4.592000,0.000867
58,4.440000,0.000854
59,4.454000,0.000841
60,4.556000,0.000829
61,4.447000,0.000816
62,4.440000,0.000805
63,4.569000,0.000793
64,4.474000,0.000781
65,4.481000,0.000768
66,4.506000,0.000754
67,4.451000,0.000740
68,4.457000,0.000727
69,4.461000,0.000714
70,4.516000,0.000701
71,4.503000,0.000689
72,4.445000,0.000681
73,4.508000,0.000680
74,4.450000,0.000679
75,4.490000,0.000677
76,4.493000,0.000676
77,4.468000,0.000674
78,4.485000,0.000672
79,4.470000,0.000671
80,4.654000,0.000669
81,4.500000,0.000667
82,4.472000,0.000665
83,4.491000,0.000664
84,4.458000,0.000662
85,4.539000,0.000660
86,4.538000,0.000659
87,4.477000,0.000657
88,4.452000,0.000655
89,4.489000,0.000654
90,4.550000,0.000652
91,4.525000,0.000651
92,4.511000,0.000649
93,4.570000,0.000648
94,4.522000,0.000646
95,4.541000,0.000645
96,4.528000,0.000644
97,4.535000,0.000644
98,4.482000,0.000644
99,4.549000,0.000643
