Integration Number,Time (s),Max Area Error
0,0.192000,0.963182
1,0.658000,0.630501
2,0.216000,0.169972
3,0.206000,0.045031
4,0.201000,0.039016
5,0.200000,0.014522
6,0.198000,0.014522
7,0.197000,0.012768
8,0.199000,0.008107
9,0.196000,0.006694
10,0.196000,0.006694
11,0.196000,0.005984
12,0.198000,0.003191
13,0.199000,0.003191
14,0.200000,0.003191
15,0.803000,0.003191
16,2.994000,0.003191
17,11.705000,0.001543
18,11.641000,0.001543
19,11.602000,0.001543
20,11.648000,0.001543
21,11.796000,0.001543
22,11.802000,0.001543
23,12.257000,0.001543
24,11.593000,0.001543
25,11.701000,0.001543
26,11.749000,0.001298
27,11.589000,0.001298
28,11.877000,0.001298
29,11.676000,0.001298
30,11.592000,0.000843
31,11.581000,0.000843
32,11.895000,0.000843
33,11.462000,0.000843
34,11.803000,0.000843
35,11.906000,0.000843
36,11.504000,0.000843
37,11.374000,0.000843
38,11.862000,0.000843
39,11.667000,0.000843
40,11.862000,0.000843
41,11.541000,0.000843
42,11.470000,0.000843
43,11.882000,0.000843
44,11.549000,0.000668
45,11.964000,0.000668
46,11.440000,0.000668
47,11.554000,0.000668
48,11.452000,0.000668
49,11.479000,0.000668
50,11.310000,0.000668
51,11.868000,0.000668
52,11.384000,0.000668
53,11.547000,0.000668
54,11.509000,0.000668
55,11.604000,0.000668
56,11.481000,0.000668
57,11.411000,0.000668
58,11.397000,0.000668
59,11.725000,0.000668
60,11.480000,0.000668
61,11.949000,0.000668
62,11.324000,0.000668
63,11.312000,0.000668
64,11.599000,0.000668
65,11.427000,0.000668
66,11.594000,0.000668
67,11.191000,0.000668
68,11.514000,0.000668
69,11.464000,0.000668
70,11.474000,0.000668
71,11.435000,0.000668
72,11.371000,0.000668
73,11.348000,0.000668
74,11.939000,0.000668
75,11.501000,0.000668
76,11.420000,0.000668
77,11.584000,0.000653
78,11.589000,0.000653
79,11.669000,0.000653
80,11.597000,0.000653
81,11.563000,0.000653
82,11.469000,0.000653
83,11.264000,0.000653
84,11.272000,0.000653
85,11.200000,0.000653
86,11.397000,0.000653
87,11.339000,0.000653
88,11.401000,0.000640
89,11.286000,0.000640
90,11.237000,0.000640
91,11.218000,0.000640
92,11.134000,0.000640
93,11.641000,0.000640
94,12.007000,0.000640
95,11.393000,0.000640
96,11.552000,0.000640
97,11.324000,0.000640
98,11.504000,0.000640
99,11.361000,0.000640
