Integration Number,Time (s),Max Area Error
0,0.048000,2.191201
1,0.168000,1.229012
2,0.074000,0.887638
3,0.086000,0.545546
4,0.077000,0.188966
5,0.058000,0.042045
6,0.052000,0.007257
7,0.049000,0.007257
8,0.051000,0.007257
9,0.196000,0.006783
10,0.190000,0.004226
11,0.189000,0.004226
12,0.207000,0.004277
13,0.757000,0.004338
14,2.893000,0.002015
15,2.905000,0.002015
16,2.909000,0.002015
17,2.846000,0.002015
18,2.852000,0.002015
19,2.863000,0.002015
20,2.900000,0.001599
21,2.871000,0.001599
22,2.946000,0.001599
23,2.871000,0.001309
24,2.892000,0.001309
25,3.073000,0.001309
26,2.912000,0.001309
27,2.951000,0.001309
28,2.849000,0.001309
29,2.870000,0.001309
30,2.897000,0.001309
31,2.868000,0.001257
32,2.903000,0.001257
33,2.891000,0.000858
34,2.971000,0.000858
35,2.922000,0.000858
36,3.004000,0.000858
37,3.252000,0.000858
38,2.858000,0.000858
39,2.872000,0.000858
40,2.953000,0.000858
41,2.853000,0.000858
42,2.878000,0.000858
43,2.871000,0.000858
44,2.864000,0.000858
45,3.032000,0.000858
46,2.971000,0.000858
47,2.960000,0.000858
48,2.885000,0.000858
49,2.933000,0.000439
50,2.923000,0.000439
51,2.907000,0.000439
52,2.924000,0.000439
53,2.893000,0.000439
54,2.849000,0.000439
55,2.886000,0.000439
56,2.899000,0.000439
57,2.890000,0.000439
58,2.887000,0.000439
59,2.846000,0.000439
60,2.941000,0.000439
61,2.947000,0.000439
62,2.883000,0.000439
63,2.909000,0.000439
64,2.916000,0.000439
65,2.905000,0.000439
66,2.884000,0.000439
67,2.868000,0.000439
68,2.958000,0.000439
69,2.920000,0.000439
70,2.996000,0.000439
71,2.873000,0.000439
72,2.903000,0.000439
73,2.875000,0.000439
74,2.860000,0.000439
75,3.002000,0.000439
76,2.932000,0.000439
77,2.895000,0.000439
78,2.942000,0.000439
79,2.862000,0.000439
80,2.921000,0.000439
81,2.922000,0.000439
82,2.923000,0.000439
83,2.947000,0.000439
84,3.064000,0.000439
85,2.862000,0.000439
86,2.877000,0.000439
87,2.874000,0.000439
88,2.871000,0.000439
89,2.931000,0.000439
90,2.937000,0.000439
91,2.949000,0.000439
92,2.910000,0.000439
93,2.882000,0.000439
94,2.967000,0.000439
95,2.901000,0.000439
96,2.996000,0.000439
97,2.936000,0.000439
98,2.968000,0.000439
99,2.978000,0.000439
