Integration Number,Time (s),Max Area Error
0,0.007000,31.520786
1,0.074000,21.943735
2,0.057000,4.886473
3,0.048000,1.616826
4,0.031000,0.844520
5,0.022000,0.430556
6,0.014000,0.281046
7,0.010000,0.129219
8,0.009000,0.055270
9,0.008000,0.023433
10,0.008000,0.009678
11,0.008000,0.006939
12,0.007000,0.006662
13,0.008000,0.004736
14,0.007000,0.004757
15,0.007000,0.004585
16,0.007000,0.003011
17,0.007000,0.002795
18,0.007000,0.002816
19,0.007000,0.002351
20,0.007000,0.002047
21,0.007000,0.001980
22,0.007000,0.001924
23,0.007000,0.001660
24,0.007000,0.001660
25,0.007000,0.001633
26,0.007000,0.001557
27,0.007000,0.001551
28,0.006000,0.001551
29,0.007000,0.001542
30,0.007000,0.001523
31,0.007000,0.001523
32,0.009000,0.001523
33,0.027000,0.001523
34,0.100000,0.001525
35,0.361000,0.001519
36,0.359000,0.001497
37,0.360000,0.001475
38,0.366000,0.001455
39,0.353000,0.001461
40,0.351000,0.001436
41,0.352000,0.001409
42,0.344000,0.001390
43,0.350000,0.001372
44,0.351000,0.001351
45,0.352000,0.001337
46,0.351000,0.001323
47,0.347000,0.001310
48,0.352000,0.001295
49,0.348000,0.001280
50,0.386000,0.001263
51,0.350000,0.001249
52,0.363000,0.001234
53,0.345000,0.001220
54,0.347000,0.001203
55,0.348000,0.001191
56,0.346000,0.001177
57,0.346000,0.001164
58,0.347000,0.001147
59,0.350000,0.001134
60,0.352000,0.001121
61,0.354000,0.001108
62,0.376000,0.001092
63,0.352000,0.001080
64,0.359000,0.001068
65,0.342000,0.001056
66,0.357000,0.001044
67,0.346000,0.001029
68,0.352000,0.001018
69,0.349000,0.001007
70,0.358000,0.000998
71,0.346000,0.000988
72,0.380000,0.000977
73,0.344000,0.000963
74,0.346000,0.000954
75,0.346000,0.000944
76,0.349000,0.000935
77,0.354000,0.000925
78,0.348000,0.000915
79,0.345000,0.000901
80,0.360000,0.000892
81,0.351000,0.000883
82,0.341000,0.000874
83,0.342000,0.000866
84,0.349000,0.000856
85,0.354000,0.000847
86,0.345000,0.000838
87,0.366000,0.000829
88,0.366000,0.000820
89,0.345000,0.000811
90,0.345000,0.000797
91,0.346000,0.000790
92,0.345000,0.000781
93,0.344000,0.000776
94,0.353000,0.000774
95,0.355000,0.000774
96,0.347000,0.000775
97,0.358000,0.000775
98,0.356000,0.000775
99,0.353000,0.000775
