Integration Number,Time (s),Max Area Error
0,0.048000,3.965164
1,0.090000,2.371909
2,0.102000,0.371950
3,0.057000,0.183278
4,0.048000,0.034627
5,0.048000,0.025354
6,0.048000,0.014434
7,0.048000,0.014434
8,0.047000,0.010975
9,0.047000,0.008020
10,0.047000,0.007132
11,0.047000,0.006089
12,0.045000,0.005619
13,0.046000,0.004929
14,0.046000,0.004135
15,0.048000,0.004159
16,0.048000,0.003537
17,0.048000,0.003537
18,0.050000,0.003114
19,0.047000,0.002934
20,0.045000,0.002593
21,0.045000,0.002593
22,0.048000,0.002593
23,0.175000,0.002577
24,0.171000,0.001174
25,0.172000,0.001174
26,0.164000,0.001174
27,0.618000,0.001174
28,2.520000,0.001174
29,2.594000,0.001174
30,2.568000,0.001174
31,2.662000,0.001174
32,2.647000,0.001174
33,2.805000,0.001174
34,2.770000,0.001174
35,2.565000,0.001174
36,2.624000,0.000965
37,2.598000,0.000710
38,2.712000,0.000710
39,2.833000,0.000710
40,2.718000,0.000710
41,2.397000,0.000710
42,2.703000,0.000710
43,2.471000,0.000710
44,2.529000,0.000710
45,2.484000,0.000710
46,2.961000,0.000710
47,2.673000,0.000710
48,2.820000,0.000710
49,2.529000,0.000710
50,2.721000,0.000710
51,2.655000,0.000710
52,2.680000,0.000710
53,2.626000,0.000710
54,2.576000,0.000710
55,2.518000,0.000710
56,2.587000,0.000710
57,2.642000,0.000710
58,2.570000,0.000710
59,2.584000,0.000710
60,2.497000,0.000710
61,2.459000,0.000710
62,2.457000,0.000710
63,2.604000,0.000710
64,2.966000,0.000710
65,2.687000,0.000710
66,2.595000,0.000710
67,2.606000,0.000710
68,2.605000,0.000710
69,2.769000,0.000710
70,2.619000,0.000710
71,2.567000,0.000710
72,2.685000,0.000710
73,2.562000,0.000710
74,2.649000,0.000710
75,2.553000,0.000710
76,2.684000,0.000710
77,2.548000,0.000710
78,2.543000,0.000710
79,2.549000,0.000710
80,2.528000,0.000710
81,2.466000,0.000710
82,2.427000,0.000710
83,2.468000,0.000710
84,2.448000,0.000710
85,2.466000,0.000710
86,2.487000,0.000710
87,2.401000,0.000710
88,2.446000,0.000710
89,2.498000,0.000710
90,2.459000,0.000710
91,2.439000,0.000710
92,2.615000,0.000710
93,2.398000,0.000710
94,2.426000,0.000710
95,2.484000,0.000710
96,2.426000,0.000710
97,2.392000,0.000710
98,2.403000,0.000710
99,2.589000,0.000710
