Integration Number,Time (s),Max Area Error
0,0.119000,7.014136
1,0.354000,1.871522
2,0.284000,0.804983
3,0.200000,0.364934
4,0.179000,0.175299
5,0.173000,0.044661
6,0.142000,0.021815
7,0.148000,0.012128
8,0.146000,0.009497
9,0.152000,0.008858
10,0.190000,0.006703
11,0.145000,0.006792
12,0.168000,0.004444
13,0.149000,0.004318
14,0.175000,0.002986
15,0.164000,0.002834
16,0.171000,0.002685
17,0.270000,0.002408
18,0.162000,0.002413
19,0.144000,0.002359
20,0.164000,0.002330
21,0.191000,0.002183
22,0.206000,0.001858
23,0.223000,0.001837
24,0.236000,0.001832
25,0.734000,0.001542
26,0.250000,0.001487
27,0.167000,0.001443
28,0.145000,0.001407
29,0.147000,0.001388
30,0.147000,0.001339
31,0.145000,0.001277
32,0.143000,0.001233
33,0.143000,0.001193
34,0.146000,0.001156
35,0.154000,0.001102
36,0.156000,0.001081
37,0.145000,0.001040
38,0.146000,0.001011
39,0.144000,0.001006
40,0.147000,0.001022
41,0.495000,0.001031
42,1.841000,0.000892
43,1.773000,0.000874
44,1.791000,0.000925
45,7.163000,0.000946
46,6.952000,0.000865
47,7.077000,0.000876
48,7.009000,0.000889
49,6.966000,0.000800
50,7.078000,0.000800
51,6.850000,0.000793
52,7.016000,0.000795
53,7.015000,0.000797
54,6.967000,0.000798
55,6.816000,0.000801
56,6.931000,0.000801
57,6.822000,0.000799
58,7.039000,0.000798
59,6.924000,0.000797
60,6.931000,0.000797
61,7.000000,0.000799
62,6.826000,0.000677
63,6.866000,0.000688
64,6.833000,0.000688
65,6.801000,0.000690
66,6.725000,0.000693
67,6.788000,0.000691
68,6.840000,0.000627
69,7.127000,0.000627
70,6.889000,0.000629
71,6.971000,0.000630
72,6.953000,0.000636
73,7.011000,0.000635
74,6.853000,0.000640
75,6.931000,0.000638
76,6.976000,0.000637
77,6.962000,0.000636
78,6.902000,0.000635
79,6.988000,0.000631
80,6.870000,0.000631
81,6.777000,0.000628
82,6.901000,0.000628
83,6.876000,0.000628
84,6.909000,0.000628
85,7.217000,0.000627
86,6.857000,0.000629
87,6.741000,0.000627
88,6.743000,0.000627
89,6.927000,0.000630
90,6.810000,0.000628
91,6.817000,0.000628
92,6.837000,0.000627
93,6.906000,0.000630
94,6.770000,0.000628
95,6.806000,0.000627
96,6.863000,0.000627
97,6.847000,0.000649
98,6.877000,0.000646
99,6.771000,0.000642
