Integration Number,Time (s),Max Area Error
0,0.016000,0.956289
1,0.070000,0.624033
2,0.044000,0.260224
3,0.025000,0.102032
4,0.021000,0.038570
5,0.020000,0.007091
6,0.019000,0.007091
7,0.021000,0.007091
8,0.084000,0.007091
9,0.354000,0.007091
10,1.351000,0.007091
11,1.288000,0.007091
12,1.308000,0.001328
13,1.273000,0.001328
14,1.331000,0.001328
15,1.277000,0.001328
16,1.342000,0.001328
17,1.301000,0.001328
18,1.340000,0.001328
19,1.267000,0.001328
20,1.270000,0.001328
21,1.301000,0.001328
22,1.290000,0.001328
23,1.282000,0.001328
24,1.280000,0.001328
25,1.284000,0.001328
26,1.300000,0.001328
27,1.281000,0.001328
28,1.301000,0.001328
29,1.266000,0.001328
30,1.280000,0.001328
31,1.271000,0.001328
32,1.272000,0.001328
33,1.279000,0.001328
34,1.271000,0.001328
35,1.272000,0.001328
36,1.261000,0.001328
37,1.265000,0.001328
38,1.272000,0.000864
39,1.276000,0.000864
40,1.321000,0.000864
41,1.272000,0.000864
42,1.264000,0.000864
43,1.272000,0.000864
44,1.271000,0.000864
45,1.266000,0.000864
46,1.274000,0.000864
47,1.266000,0.000864
48,1.270000,0.000864
49,1.272000,0.000864
50,1.306000,0.000864
51,1.328000,0.000864
52,1.286000,0.000864
53,1.289000,0.000864
54,1.293000,0.000864
55,1.287000,0.000864
56,1.279000,0.000864
57,1.271000,0.000864
58,1.275000,0.000864
59,1.287000,0.000864
60,1.272000,0.000864
61,1.270000,0.000864
62,1.276000,0.000595
63,1.335000,0.000595
64,1.273000,0.000595
65,1.265000,0.000595
66,1.270000,0.000595
67,1.273000,0.000595
68,1.273000,0.000595
69,1.283000,0.000595
70,1.263000,0.000595
71,1.269000,0.000595
72,1.297000,0.000595
73,1.274000,0.000595
74,1.282000,0.000595
75,1.310000,0.000595
76,1.282000,0.000595
77,1.266000,0.000595
78,1.277000,0.000595
79,1.276000,0.000595
80,1.273000,0.000595
81,1.283000,0.000595
82,1.292000,0.000595
83,1.279000,0.000595
84,1.288000,0.000595
85,1.280000,0.000595
86,1.355000,0.000595
87,1.297000,0.000595
88,1.269000,0.000595
89,1.265000,0.000595
90,1.267000,0.000595
91,1.282000,0.000595
92,1.284000,0.000595
93,1.293000,0.000595
94,1.271000,0.000595
95,1.268000,0.000595
96,1.270000,0.000595
97,1.282000,0.000595
98,1.438000,0.000595
99,1.295000,0.000595
