Integration Number,Time (s),Max Area Error
0,0.013000,856.363945
1,0.110000,586.495039
2,0.122000,209.125947
3,0.198000,97.727596
4,0.191000,53.930593
5,0.127000,31.498924
6,0.095000,18.187804
7,0.086000,11.024493
8,0.080000,6.571475
9,0.078000,4.888561
10,0.342000,4.818371
11,0.135000,4.125149
12,0.185000,3.510318
13,0.108000,3.804965
14,0.087000,3.168251
15,0.344000,2.697615
16,0.189000,2.266500
17,0.190000,1.996816
18,0.155000,4.612011
19,0.234000,2.384678
20,0.928000,3.451223
21,0.260000,2.634064
22,0.174000,3.052351
23,0.191000,2.541795
24,0.199000,2.109780
25,0.921000,1.930416
26,0.235000,1.843738
27,0.189000,1.811229
28,0.206000,2.449760
29,1.046000,1.642977
30,2.207000,16.843947
31,20.361000,4.943460
32,10.207000,4.213439
33,5.704000,4.146847
34,2.091000,3.982797
35,2.126000,2.966381
36,7.987000,2.503239
37,2.216000,2.612953
38,2.048000,1.802965
39,2.548000,0.785889
40,2.278000,1.881967
41,2.817000,0.586136
42,1.550000,0.497307
43,1.223000,0.474792
44,1.185000,0.493808
45,1.179000,0.780021
46,1.875000,5.157334
47,7.790000,1.649728
48,5.291000,0.868269
49,1.602000,1.889788
50,3.234000,0.824626
51,1.556000,1.861581
52,3.315000,0.676554
53,1.569000,2.506235
54,27.961000,3.705484
55,3.417000,5.723185
56,2.226000,7.087253
57,1.930000,7.125215
58,2.266000,6.293870
59,2.504000,4.798803
60,2.402000,3.527969
61,2.345000,3.272173
62,2.356000,2.979551
63,2.470000,2.874584
64,4.163000,2.950762
65,1.624000,2.832169
66,3.064000,2.943829
67,1.680000,2.785209
68,3.290000,2.794868
69,1.894000,2.686158
70,3.444000,2.734939
71,1.741000,2.684944
72,4.694000,2.681523
73,1.791000,2.617335
74,3.345000,2.593592
75,1.918000,2.480075
76,3.960000,2.412925
77,1.927000,2.452651
78,3.277000,2.453890
79,1.951000,2.417977
80,3.679000,2.391968
81,1.924000,2.427978
82,3.330000,2.406521
83,1.863000,2.216800
84,3.457000,2.187852
85,1.965000,2.086120
86,3.870000,2.102353
87,2.077000,2.045716
88,4.013000,2.082915
89,1.981000,2.017168
90,3.722000,2.075413
91,2.074000,2.047064
92,3.844000,2.148219
93,2.095000,2.215291
94,3.738000,2.458616
95,2.880000,2.965183
96,43.658000,2.367325
97,5.412000,2.773541
98,3.081000,3.066913
99,2.507000,3.222683
