Integration Number,Time (s),Max Area Error
0,0.068000,72.300556
1,0.109000,32.648406
2,0.174000,3.105947
3,0.096000,0.705990
4,0.071000,0.188945
5,0.064000,0.048967
6,0.057000,0.019231
7,0.057000,0.018685
8,0.058000,0.011118
9,0.059000,0.007441
10,0.057000,0.007946
11,0.061000,0.005314
12,0.062000,0.005285
13,0.055000,0.004973
14,0.057000,0.004858
15,0.056000,0.004835
16,0.056000,0.004654
17,0.058000,0.002985
18,0.056000,0.002371
19,0.055000,0.002396
20,0.056000,0.002022
21,0.055000,0.002169
22,0.058000,0.001756
23,0.055000,0.001758
24,0.058000,0.001791
25,0.177000,0.001705
26,0.175000,0.001695
27,0.177000,0.001689
28,0.174000,0.001668
29,0.176000,0.001647
30,0.171000,0.001638
31,0.174000,0.001623
32,0.172000,0.001622
33,0.175000,0.001619
34,0.176000,0.001615
35,0.176000,0.001614
36,0.179000,0.001616
37,0.653000,0.001609
38,0.645000,0.001601
39,0.632000,0.001594
40,0.648000,0.001586
41,0.671000,0.001575
42,0.737000,0.001151
43,0.669000,0.001160
44,0.697000,0.001169
45,2.820000,0.001182
46,2.907000,0.001049
47,2.975000,0.001050
48,2.937000,0.001056
49,2.902000,0.001095
50,2.902000,0.001107
51,2.801000,0.001112
52,2.741000,0.001028
53,2.698000,0.001030
54,2.919000,0.001027
55,2.947000,0.001025
56,2.894000,0.001026
57,2.742000,0.001023
58,2.842000,0.001023
59,2.833000,0.001020
60,2.775000,0.001024
61,2.792000,0.001032
62,2.858000,0.001040
63,2.859000,0.001019
64,2.823000,0.001020
65,2.903000,0.001019
66,2.814000,0.000999
67,2.799000,0.000998
68,2.787000,0.000997
69,2.739000,0.000978
70,2.718000,0.000977
71,2.907000,0.000959
72,2.745000,0.000958
73,2.817000,0.000958
74,2.780000,0.000940
75,2.846000,0.000939
76,2.895000,0.000938
77,2.763000,0.000921
78,2.875000,0.000926
79,2.908000,0.000926
80,2.826000,0.000919
81,2.963000,0.000912
82,2.773000,0.000905
83,2.713000,0.000898
84,2.879000,0.000893
85,2.787000,0.000886
86,2.798000,0.000879
87,2.823000,0.000876
88,2.988000,0.000876
89,2.820000,0.000879
90,2.839000,0.000878
91,3.033000,0.000877
92,2.687000,0.000877
93,2.592000,0.000874
94,2.622000,0.000874
95,2.619000,0.000874
96,2.675000,0.000874
97,2.695000,0.000872
98,2.677000,0.000871
99,2.616000,0.000871
