Integration Number,Time (s),Max Area Error
0,0.255000,159.189798
1,1.116000,79.036057
2,0.446000,30.438348
3,0.531000,13.581787
4,0.667000,8.508820
5,0.750000,4.718992
6,0.686000,2.339672
7,0.586000,1.134283
8,0.533000,0.980376
9,0.432000,0.975353
10,0.363000,0.968486
11,0.322000,0.950285
12,0.312000,0.912962
13,0.303000,0.807240
14,0.289000,0.704099
15,0.283000,0.443822
16,0.285000,0.375724
17,0.285000,0.157962
18,0.287000,0.137880
19,0.282000,0.086324
20,0.285000,0.062009
21,0.281000,0.039916
22,0.278000,0.030138
23,0.276000,0.021379
24,0.280000,0.016290
25,0.280000,0.012193
26,0.275000,0.009426
27,0.283000,0.007186
28,0.307000,0.005637
29,0.276000,0.004424
30,0.279000,0.004428
31,0.292000,0.004457
32,1.026000,0.002354
33,1.025000,0.002385
34,1.025000,0.001767
35,1.023000,0.001770
36,1.162000,0.001770
37,3.941000,0.001546
38,3.938000,0.001524
39,3.978000,0.001505
40,4.008000,0.001448
41,3.998000,0.001424
42,4.026000,0.001404
43,4.183000,0.001402
44,4.162000,0.001397
45,4.027000,0.001395
46,3.978000,0.001394
47,3.996000,0.001399
48,4.036000,0.001402
49,4.004000,0.001407
50,4.017000,0.001376
51,4.097000,0.001378
52,3.924000,0.001262
53,3.968000,0.001252
54,3.940000,0.001214
55,4.088000,0.001220
56,4.018000,0.001202
57,3.966000,0.001195
58,4.002000,0.001189
59,4.025000,0.001182
60,4.020000,0.001177
61,3.938000,0.001170
62,4.025000,0.001163
63,4.024000,0.001155
64,4.046000,0.001148
65,4.025000,0.001141
66,4.051000,0.001134
67,4.024000,0.001126
68,3.987000,0.001118
69,4.011000,0.001116
70,4.033000,0.001113
71,3.967000,0.001110
72,3.989000,0.001112
73,4.005000,0.001095
74,4.168000,0.001097
75,4.019000,0.001095
76,3.927000,0.001092
77,4.095000,0.001089
78,4.096000,0.001087
79,3.985000,0.001083
80,3.964000,0.001078
81,4.145000,0.001075
82,4.011000,0.001078
83,3.970000,0.001077
84,4.127000,0.001074
85,4.001000,0.001084
86,3.971000,0.001076
87,4.003000,0.001071
88,3.948000,0.001068
89,4.167000,0.001065
90,4.092000,0.001062
91,3.987000,0.001059
92,3.987000,0.001060
93,3.989000,0.001057
94,4.018000,0.001051
95,4.038000,0.001051
96,4.093000,0.001040
97,4.023000,0.001037
98,3.982000,0.001041
99,4.019000,0.001063
